bgm_id,game_title,current_title,proposed_title,confidence,source,reason
317,Bravely Default,That Person's Name Is,彼の者の名は,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10333-34.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
364,Monster Hunter Tri,Ceadeus Battle,月震／ナバルデウス,high,https://music.apple.com/us/song/953923536,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
371,Monster Hunter: World,Pride of a Nameless Hunter,名もなき狩人の矜持,high,https://classical.music.apple.com/jp/album/1336356191,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
372,Monster Hunter: World - Iceborne,Brutish Indigo Rages / Brachydios,剛き紺藍 ～ブラキディオス,high,https://music.apple.com/jp/song/736580429,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
374,Monster Hunter Rise,Sanctuary Abandoned by the Gods,神が去りし、廃忘の社,high,https://music.apple.com/us/song/1551276898,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
376,Xenoblade Chronicles,Engage the Enemy,敵との対峙,high,https://www.procyon-studio.co.jp/library/detail/069.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
377,Xenoblade Chronicles 2,Mor Ardain - Roaming the Wastes,スペルビア帝国 ～赤土を駆け抜けて～,high,https://www.procyon-studio.co.jp/special/xenoblade2/,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
382,Final Fantasy III,Battle 2,バトル2,high,https://www.jp.square-enix.com/music/lineup/item/SEMO-00003.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
384,FINAL FANTASY VI,Dancing Mad,妖星乱舞,high,https://www.jp.square-enix.com/music/sem/page/FF30th_BDM/tracklist/,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
389,Final Fantasy XIII,The Sunleth Waterscape,サンレス水郷,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10183-86.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
404,NieR: Automata,Pascal,パスカル,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10614-7.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
406,Octopath Traveler II,Song of Hope,きぼうの唄,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10991-6.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
407,Bravely Default,Serpent Eating the Ground,地平を喰らう蛇,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10333-34.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
413,Final Fantasy,Main Theme,メイン・テーマ,high,https://www.jp.square-enix.com/music/sem/page/FF30th_BDM/tracklist/,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
419,Final Fantasy XII,The Dalmasca Estersand,東ダルマスカ砂漠,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10343-6.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
520,Final Fantasy,Battle,戦闘シーン,high,https://www.jp.square-enix.com/music/sem/page/FF30th_BDM/tracklist/,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
522,Final Fantasy XII,Battle for Freedom,自由への闘い,high,https://www.jp.square-enix.com/music/lineup/item/SQEX-10343-6.html,日本国内向けの公式サウンドトラック情報で現行英題に対応する日本語曲名を確認した。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
