bgm_id,game_title,current_title,proposed_title,confidence,source,reason
68,Kirby and the Forgotten Land,WELCOME TO THE NEW WORLD!,WELCOME TO THE NEW WORLD!,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
71,EarthBound,Smiles and Tears,Smiles and Tears,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
81,Final Fantasy VIII,The Man with the Machine Gun,The Man with the Machine Gun,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
82,Final Fantasy VIII,Force Your Way,Force Your Way,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
86,Final Fantasy XIV Online,To the Edge,To the Edge,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
87,Final Fantasy XIV Online,Answers,Answers,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
88,Final Fantasy XIV Online,Shadowbringers,Shadowbringers,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
89,Final Fantasy XVI,Find the Flame,Find the Flame,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
90,Final Fantasy XVI,Away,Away,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
93,NieR: Automata,Weight of the World,Weight of the World,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
96,Kingdom Hearts,Dearly Beloved,Dearly Beloved,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
97,Kingdom Hearts II,Roxas,Roxas,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
98,Kingdom Hearts II,The Other Promise,The Other Promise,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
99,Persona 3 Reload,It's Going Down Now,It's Going Down Now,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
100,Persona 3 Reload,Color Your Night,Color Your Night,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
101,Persona 4,Reach Out To The Truth,Reach Out To The Truth,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
102,Persona 4,I'll Face Myself,I'll Face Myself,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
103,Persona 5,Life Will Change,Life Will Change,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
104,Persona 5,Rivers in the Desert,Rivers in the Desert,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
105,Persona 5,Beneath the Mask,Beneath the Mask,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
106,Persona 5 Royal,Take Over,Take Over,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
107,Metaphor: ReFantazio,Warriors in Valour,Warriors in Valour,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
109,Shin Megami Tensei V,Battle -Da'at-,Battle -Da'at-,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
110,Xenoblade Chronicles 2,Counterattack,Counterattack,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
111,Xenoblade Chronicles 2,Drifting Soul,Drifting Soul,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
112,Xenoblade Chronicles 2,Incoming!,Incoming!,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
113,Xenoblade Chronicles 3,A Life Sent On,A Life Sent On,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
114,Xenoblade Chronicles X,Uncontrollable,Uncontrollable,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
117,Fire Emblem Awakening,Id (Purpose),Id (Purpose),high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
118,Fire Emblem Engage,Emblem Engage!,Emblem Engage!,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
119,Splatoon,Splattack!,Splattack!,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
123,Minecraft: Java Edition,Sweden,Sweden,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
124,Minecraft: Java Edition,Mice on Venus,Mice on Venus,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
125,Minecraft: Java Edition,Wet Hands,Wet Hands,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
126,Terraria,Overworld Day,Overworld Day,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
127,Stardew Valley,Spring (It's A Big World Outside),Spring (It's A Big World Outside),high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
128,Celeste,Resurrections,Resurrections,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
129,Celeste,Reach for the Summit,Reach for the Summit,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
130,Hollow Knight,Greenpath,Greenpath,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
131,Hollow Knight,Sealed Vessel,Sealed Vessel,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
132,Ori and the Blind Forest,Light of Nibel,Light of Nibel,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
133,Ori and the Will of the Wisps,Main Theme,Main Theme,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
134,Cuphead,Floral Fury,Floral Fury,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
135,Hades,The Painful Way,The Painful Way,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
136,Hades,God of the Dead,God of the Dead,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
137,Dead Cells,Prisoners' Awakening,Prisoners' Awakening,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
138,Undertale,Battle Against a True Hero,Battle Against a True Hero,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
139,Undertale,ASGORE,ASGORE,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
140,Deltarune,BIG SHOT,BIG SHOT,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
141,Deltarune,Field of Hopes and Dreams,Field of Hopes and Dreams,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
142,Sonic Adventure 2,Live & Learn,Live & Learn,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
143,Sonic Adventure 2,Escape From the City,Escape From the City,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
144,Sonic Unleashed,Endless Possibility,Endless Possibility,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
145,Sonic Frontiers,Undefeatable,Undefeatable,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
146,Sonic Frontiers,Find Your Flame,Find Your Flame,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
147,Sonic X Shadow Generations,Without You,Without You,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
148,Mega Man 2,Dr. Wily Stage 1,Dr. Wily Stage 1,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
149,Mega Man X,Spark Mandrill Stage,Spark Mandrill Stage,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
150,Castlevania: Symphony of the Night,Dracula's Castle,Dracula's Castle,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
151,Castlevania,Vampire Killer,Vampire Killer,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
152,Street Fighter II,Guile's Theme,Guile's Theme,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
153,Street Fighter 6,Not on the Sidelines,Not on the Sidelines,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
154,Tekken 5,Moonlit Wilderness,Moonlit Wilderness,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
155,Tekken 8,My Last Stand,My Last Stand,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
156,Guilty Gear: Strive,Smell of the Game,Smell of the Game,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
157,Guilty Gear: Strive,The Town Inside Me,The Town Inside Me,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
158,Devil May Cry 3: Dante's Awakening,Devils Never Cry,Devils Never Cry,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
159,Devil May Cry 5,Devil Trigger,Devil Trigger,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
160,Devil May Cry 5,Bury the Light,Bury the Light,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
161,Metal Gear Solid 3: Snake Eater,Snake Eater,Snake Eater,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
162,Metal Gear Rising: Revengeance,Rules of Nature,Rules of Nature,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
163,Metal Gear Rising: Revengeance,The Only Thing I Know for Real,The Only Thing I Know for Real,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
164,Metal Gear Rising: Revengeance,It Has to Be This Way,It Has to Be This Way,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
165,Dark Souls,"Gwyn, Lord of Cinder","Gwyn, Lord of Cinder",high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
166,Dark Souls III,Soul of Cinder,Soul of Cinder,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
167,Bloodborne,"Ludwig, the Holy Blade","Ludwig, the Holy Blade",high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
168,Bloodborne,"Gehrman, The First Hunter","Gehrman, The First Hunter",high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
169,Sekiro: Shadows Die Twice,The Owl,The Owl,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
170,Elden Ring,The Final Battle,The Final Battle,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
171,Elden Ring,"Malenia, Blade of Miquella","Malenia, Blade of Miquella",high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
172,Elden Ring: Shadow of the Erdtree,The Promised Consort,The Promised Consort,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
