logical_game_name,alias,normalized_alias,source,existing_game_id,insert_needed,collision_status
Metal Gear Solid,MGS,mgs,IGDB/official-title review,321,true,none
Metal Gear Solid,MGS1,mgs1,IGDB/official-title review,321,true,none
Nights Into Dreams...,Nights Into Dreams...,nightsintodreams,IGDB/official-title review,322,true,none
Nights Into Dreams...,ナイツ,ナイツ,IGDB/official-title review,322,true,none
Resident Evil 2,Resident Evil 2,residentevil2,IGDB/official-title review,323,true,none
Resident Evil 2,バイオハザード2,バイオハザード2,IGDB/official-title review,323,true,none
Resident Evil 2,BIOHAZARD 2,biohazard2,IGDB/official-title review,323,true,none
Resident Evil 2,RE2,re2,IGDB/official-title review,323,true,none
Resident Evil 4,Resident Evil 4,residentevil4,IGDB/official-title review,324,true,none
Resident Evil 4,バイオハザード4,バイオハザード4,IGDB/official-title review,324,true,none
Resident Evil 4,BIOHAZARD 4,biohazard4,IGDB/official-title review,324,true,none
Resident Evil 4,RE4,re4,IGDB/official-title review,324,true,none
Romancing SaGa 3,Romancing SaGa 3,romancingsaga3,IGDB/official-title review,325,true,none
Romancing SaGa 3,ロマンシング サ・ガ3,ロマンシングサ・ガ3,IGDB/official-title review,325,true,none
Silent Hill 2,Silent Hill 2,silenthill2,IGDB/official-title review,326,true,none
Silent Hill 3,Silent Hill 3,silenthill3,IGDB/official-title review,327,true,none
Sonic CD,Sonic CD,soniccd,IGDB/official-title review,328,true,none
Sonic CD,ソニック・ザ・ヘッジホッグCD,ソニック・ザ・ヘッジホッグcd,IGDB/official-title review,328,true,none
Sonic CD,Sonic the Hedgehog CD,sonicthehedgehogcd,IGDB/official-title review,328,true,none
Sonic Unleashed,Sonic Unleashed,sonicunleashed,IGDB/official-title review,329,true,none
Sonic Unleashed,ソニック ワールドアドベンチャー,ソニックワールドアドベンチャー,IGDB/official-title review,329,true,none
Sonic Unleashed,Sonic World Adventure,sonicworldadventure,IGDB/official-title review,329,true,none
Street Fighter III: 3rd Strike,Street Fighter III: 3rd Strike,streetfighteriii3rdstrike,IGDB/official-title review,330,true,none
Street Fighter III: 3rd Strike,ストリートファイターIII 3rd STRIKE,ストリートファイターiii3rdstrike,IGDB/official-title review,330,true,none
Street Fighter III: 3rd Strike,Street Fighter 3: 3rd Strike,streetfighter33rdstrike,IGDB/official-title review,330,true,none
Street Fighter III: 3rd Strike,ストIII 3rd,ストiii3rd,IGDB/official-title review,330,true,none
Tales of Symphonia,Tales of Symphonia,talesofsymphonia,IGDB/official-title review,331,true,none
Tales of Symphonia,テイルズ オブ シンフォニア,テイルズオブシンフォニア,IGDB/official-title review,331,true,none
Tales of Symphonia,ToS,tos,IGDB/official-title review,331,true,none
Tales of Vesperia,Tales of Vesperia,talesofvesperia,IGDB/official-title review,332,true,none
Tales of Vesperia,テイルズ オブ ヴェスペリア,テイルズオブヴェスペリア,IGDB/official-title review,332,true,none
Tales of Vesperia,TOV,tov,IGDB/official-title review,332,true,none
Tales of the Abyss,Tales of the Abyss,talesoftheabyss,IGDB/official-title review,333,true,none
Tales of the Abyss,テイルズ オブ ジ アビス,テイルズオブジアビス,IGDB/official-title review,333,true,none
Tales of the Abyss,TOA,toa,IGDB/official-title review,333,true,none
Tekken 5,Tekken 5,tekken5,IGDB/official-title review,334,true,none
Tekken 5,鉄拳5,鉄拳5,IGDB/official-title review,334,true,none
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,theelderscrollsvskyrim,IGDB/official-title review,335,true,none
The Elder Scrolls V: Skyrim,Skyrim,skyrim,IGDB/official-title review,335,true,none
The Elder Scrolls V: Skyrim,TES5,tes5,IGDB/official-title review,335,true,none
