rank,bgm_title,source_game_title,logical_game_name,existing_game_id,igdb_id,status,confidence,source,reason
36,Garakuta Doll Play,maimai,Maimai,,60813,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
37,Title Theme,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,,1029,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
38,Terra's Theme,FINAL FANTASY VI,FINAL FANTASY VI,102,426,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 236（ティナのテーマ）と同一logical game・同一または公式対応タイトル
39,Scarlet Feast / Malzeno,Monster Hunter Rise: Sunbreak,Monster Hunter Rise: Sunbreak,216,172425,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 237（朱に染むる夜宴／メル・ゼナ）と同一logical game・同一または公式対応タイトル
40,Encounter,Metal Gear Solid,Metal Gear Solid,,375,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
41,First Steps,Celeste,Celeste,127,26226,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 238（First Steps）と同一logical game・同一または公式対応タイトル
42,World Vanquisher,CHUNITHM,Chunithm,,56388,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
43,Clock Town,The Legend of Zelda: Majora's Mask,The Legend of Zelda: Majora's Mask,281,1030,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 239（クロックタウン）と同一logical game・同一または公式対応タイトル
44,Aerith's Theme,Final Fantasy VII,Final Fantasy VII,,393025,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
45,Main Theme,Monster Hunter Wilds,Monster Hunter Wilds,218,279661,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 240（Main Theme）と同一logical game・同一または公式対応タイトル
46,Main Theme,Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,205,376,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 241（Main Theme）と同一logical game・同一または公式対応タイトル
47,Good Riddance,Hades,Hades,,80529,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
48,Bangin' Burst,SOUND VOLTEX,Sound Voltex Nabla,257,382474,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 242（Bangin' Burst）と同一logical game・同一または公式対応タイトル
49,Great Sea,The Legend of Zelda: The Wind Waker,The Legend of Zelda: The Wind Waker,284,1033,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 243（大海原）と同一logical game・同一または公式対応タイトル
50,Liberi Fatali,Final Fantasy VIII,Final Fantasy VIII,,425,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
51,Taste the Blood,Devil May Cry 3: Dante's Awakening,Devil May Cry 3: Dante's Awakening,137,136,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 244（Taste the Blood）と同一logical game・同一または公式対応タイトル
52,Way to Fall,Metal Gear Solid 3: Snake Eater,Metal Gear Solid 3: Snake Eater,206,379,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 245（Way to Fall）と同一logical game・同一または公式対応タイトル
53,Coral Crown,Hades II,Hades II,175,228525,existing_duplicate,high,https://thegameawards.com/nominees/best-score-and-music,既存BGM ID 246（Coral Crown）と同一logical game・同一または公式対応タイトル
54,冥,beatmania IIDX,Beatmania IIDX,121,94920,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 247（冥）と同一logical game・同一または公式対応タイトル
55,Midna's Lament,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,,134014,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
56,Melodies of Life,Final Fantasy IX,Final Fantasy IX,,421,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
57,Subhuman,Devil May Cry 5,DmC: Devil May Cry,,1254,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
58,Silent Hill,Silent Hill,Silent Hill f,253,222343,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 248（Silent Hill）と同一logical game・同一または公式対応タイトル
59,Die House,Cuphead,Cuphead,,9061,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
60,Evans,jubeat,Jubeat,,79960,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
61,Ballad of the Goddess,The Legend of Zelda: Skyward Sword,The Legend of Zelda: Skyward Sword,282,534,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 249（女神の詩）と同一logical game・同一または公式対応タイトル
62,Otherworld,Final Fantasy X,Final Fantasy X,,418,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
63,Metal Man Stage,Mega Man 2,Mega Man 2,,1715,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
64,Theme of Laura,Silent Hill 2,Silent Hill 2,,481,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
65,"Restoring the Light, Facing the Dark",Ori and the Blind Forest,Ori and the Blind Forest,227,7344,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,"既存BGM ID 250（Restoring the Light, Facing the Dark）と同一logical game・同一または公式対応タイトル"
66,さいたま2000,Taiko no Tatsujin,Taiko no Tatsujin: Niji-iro Version,267,319924,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 251（さいたま2000）と同一logical game・同一または公式対応タイトル
67,Hyrule Castle,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild,280,7346,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 252（ハイラル城）と同一logical game・同一または公式対応タイトル
68,Blinded by Light,Final Fantasy XIII,Final Fantasy XIII,154,389,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 253（閃光）と同一logical game・同一または公式対応タイトル
69,Storm Eagle Stage,Mega Man X,Mega Man X,,1741,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
70,Dragonborn,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,,472,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
71,Escaping a Foul Presence,Ori and the Will of the Wisps,Ori and the Will of the Wisps,228,37001,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 254（Escaping a Foul Presence）と同一logical game・同一または公式対応タイトル
72,Ready Steady,Project SEKAI COLORFUL STAGE!,Hatsune Miku: Colorful Stage!,180,139134,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 255（Ready Steady）と同一logical game・同一または公式対応タイトル
73,Colgera Battle,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,283,119388,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 256（フリザゲイラ戦）と同一logical game・同一または公式対応タイトル
74,Somnus,Final Fantasy XV,Final Fantasy XV,156,359,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 257（Somnus）と同一logical game・同一または公式対応タイトル
75,Ryu's Theme,Street Fighter II,Street Fighter II,,3186,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
76,Geralt of Rivia,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,285,1942,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 258（Geralt of Rivia）と同一logical game・同一または公式対応タイトル
77,Summer (Nature's Crescendo),Stardew Valley,Stardew Valley,261,17000,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 259（Summer (Nature's Crescendo)）と同一logical game・同一または公式対応タイトル
78,The Disappearance of Hatsune Miku,Hatsune Miku: Project DIVA,Hatsune Miku: Project Diva,181,11754,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 260（The Disappearance of Hatsune Miku）と同一logical game・同一または公式対応タイトル
79,Green Greens,Kirby's Dream Land,Kirby's Dream Land,,1063,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
80,Ascension,Final Fantasy XVI,Final Fantasy XVI,157,31551,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 261（Ascension）と同一logical game・同一または公式対応タイトル
81,Let's Get It On,Street Fighter III: 3rd Strike,Street Fighter III: 3rd Strike,,6710,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
82,Never Fade Away,Cyberpunk 2077,Cyberpunk 2077,129,1877,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 262（Never Fade Away）と同一logical game・同一または公式対応タイトル
83,Underground,Terraria,Terraria,271,1879,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 263（Underground）と同一logical game・同一または公式対応タイトル
84,READY!!,The Idolmaster,The Idolmaster,,281482,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
85,Candy Mountain,Kirby Super Star,Kirby Super Star,194,3719,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 264（Candy Mountain）と同一logical game・同一または公式対応タイトル
86,Airbuster,Final Fantasy VII Remake,Final Fantasy VII Remake,152,11169,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 265（エアバスター）と同一logical game・同一または公式対応タイトル
87,R.E.D.,Street Fighter 6,Street Fighter 6,,191692,needs_review,medium,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
88,That's the Way It Is,Red Dead Redemption 2,Red Dead Redemption 2,242,25076,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 266（That's the Way It Is）と同一logical game・同一または公式対応タイトル
89,Subwoofer Lullaby,Minecraft: Java Edition,Minecraft: Java Edition,210,121,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 267（Subwoofer Lullaby）と同一logical game・同一または公式対応タイトル
90,Rapid as Wildfires,Genshin Impact,Genshin Impact,166,119277,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 268（Rapid as Wildfires）と同一logical game・同一または公式対応タイトル
91,Roar of Dedede,Kirby and the Forgotten Land,Kirby and the Forgotten Land,,172427,needs_review,medium,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
92,No Promises to Keep,Final Fantasy VII Rebirth,Final Fantasy VII Rebirth,151,133236,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 269（No Promises to Keep）と同一logical game・同一または公式対応タイトル
93,Reset,Ōkami,Ōkami,225,1271,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 270（Reset）と同一logical game・同一または公式対応タイトル
94,Halo,Halo: Combat Evolved,Halo: Combat Evolved,179,740,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 271（Halo）と同一logical game・同一または公式対応タイトル
95,Pigstep,Minecraft,Minecraft,209,135400,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 272（Pigstep）と同一logical game・同一または公式対応タイトル
96,Pedujara: Even Immortality Ends,Honkai: Star Rail,Honkai Star Rail,7,178282,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 273（Pedujara: Even Immortality Ends）と同一logical game・同一または公式対応タイトル
97,戦闘！トレーナー,ポケットモンスター 赤・緑,ポケットモンスター 赤・緑,93,1511|1561,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 274（戦闘！トレーナー）と同一logical game・同一または公式対応タイトル
98,Footfalls,Final Fantasy XIV Online,Final Fantasy XIV: Endwalker,155,143232,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 275（Footfalls）と同一logical game・同一または公式対応タイトル
99,Green Hill Zone,Sonic the Hedgehog,Sonic the Hedgehog,,3192,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補18件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
100,Halo Theme Mjolnir Mix,Halo 2,Halo 2,177,986,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 276（Halo Theme Mjolnir Mix）と同一logical game・同一または公式対応タイトル
101,The Cyber Grind,ULTRAKILL,Ultrakill,288,124333,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 277（The Cyber Grind）と同一logical game・同一または公式対応タイトル
102,60% Daily,Zenless Zone Zero,Zenless Zone Zero,303,200551,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 278（60% Daily）と同一logical game・同一または公式対応タイトル
103,戦闘！野生ポケモン,ポケットモンスター 金・銀,ポケットモンスター 金・銀,94,1513|1558,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 279（戦闘！野生ポケモン）と同一logical game・同一または公式対応タイトル
104,Chrono Trigger,Chrono Trigger,Chrono Trigger,,1802,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
105,Chemical Plant Zone,Sonic the Hedgehog 2,Sonic the Hedgehog 2,,112884,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
106,One Final Effort,Halo 3,Halo 3,178,987,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 280（One Final Effort）と同一logical game・同一または公式対応タイトル
107,World's End Valentine,OMORI,Omori,226,26673,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 281（World's End Valentine）と同一logical game・同一または公式対応タイトル
108,Usagi Flap,Blue Archive,Blue Archive,123,139391,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 282（Usagi Flap）と同一logical game・同一または公式対応タイトル
109,戦闘！野生ポケモン,ポケットモンスター ルビー・サファイア,ポケットモンスター ルビー・サファイア,95,1515|1557,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 283（戦闘！野生ポケモン）と同一logical game・同一または公式対応タイトル
110,Time's Scar,Chrono Cross,Chrono Cross,,1804,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
111,Sonic Boom,Sonic CD,Sonic CD,,5452,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
112,At Doom's Gate,Doom,Doom (1993),139,673,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 284（At Doom's Gate）と同一logical game・同一または公式対応タイトル
113,Self Esteem Fund,Portal,Portal,,14546,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
114,"Fly, My Wings",Limbus Company,Limbus Company,199,194106,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,"既存BGM ID 285（Fly, My Wings）と同一logical game・同一または公式対応タイトル"
115,戦闘！野生ポケモン,ポケットモンスター ダイヤモンド・パール,ポケットモンスター ダイヤモンド・パール,96,1518|1560,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 286（戦闘！野生ポケモン）と同一logical game・同一または公式対応タイトル
116,Simple and Clean,Kingdom Hearts,Kingdom Hearts,,393742,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
117,Open Your Heart,Sonic Adventure,Sonic Adventure,,7860,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
118,BFG Division,DOOM (2016),Doom (2016),140,7351,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 287（BFG Division）と同一logical game・同一または公式対応タイトル
119,Cara Mia Addio,Portal 2,Portal 2,239,72,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 288（Cara Mia Addio）と同一logical game・同一または公式対応タイトル
120,Oshama Scramble!,maimai,Maimai,,60813,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
121,戦闘！フロンティアブレーン,Pokémon Platinum,Pokémon Platinum Version,237,1519,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 289（戦闘！フロンティアブレーン）と同一logical game・同一または公式対応タイトル
