candidate_title,confirmed_title,candidate_game,decision,existing_bgm_id,existing_title,new_import,logical_game_name,game_id,igdb_id,reason,source_url,confidence
Green Greens,Green Greens,Kirby's Dream Land,still_needs_review,,,false,Kirby's Dream Land,,1063,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
READY!!,READY!!,The Idolmaster,still_needs_review,,,false,The Idolmaster,,281482,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
R.E.D.,R.E.D.,Street Fighter 6,still_needs_review,,,false,Street Fighter 6,,191692,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,medium
Roar of Dedede,Roar of Dedede,Kirby and the Forgotten Land,still_needs_review,,,false,Kirby and the Forgotten Land,,172427,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,medium
Green Hill Zone,Green Hill Zone,Sonic the Hedgehog,still_needs_review,,,false,Sonic the Hedgehog,,3192,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Chrono Trigger,Chrono Trigger,Chrono Trigger,still_needs_review,,,false,Chrono Trigger,,1802,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Chemical Plant Zone,Chemical Plant Zone,Sonic the Hedgehog 2,still_needs_review,,,false,Sonic the Hedgehog 2,,112884,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Time's Scar,Time's Scar,Chrono Cross,still_needs_review,,,false,Chrono Cross,,1804,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Self Esteem Fund,Self Esteem Fund,Portal,still_needs_review,,,false,Portal,,14546,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Simple and Clean,Simple and Clean,Kingdom Hearts,still_needs_review,,,false,Kingdom Hearts,,393742,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Open Your Heart,Open Your Heart,Sonic Adventure,still_needs_review,,,false,Sonic Adventure,,7860,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Supporting Me,Supporting Me,Sonic Adventure 2,still_needs_review,,,false,Sonic Adventure 2,,7858,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
End Time,End Time,CHUNITHM,still_needs_review,,,false,Chunithm,,56388,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Overture,Overture,Dragon Quest III,still_needs_review,,,false,Dragon Warrior III,,205600,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
I'm so Happy,I'm so Happy,jubeat,still_needs_review,,,false,Jubeat,,79960,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Jin Kazama Theme,Jin Kazama Theme,Tekken 3,still_needs_review,,,false,Tekken 3,,1244,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
The Drive,The Drive,Resident Evil 4,still_needs_review,,,false,Resident Evil 4,,974,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
M@STERPIECE,M@STERPIECE,The Idolmaster,still_needs_review,,,false,The Idolmaster,,281482,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Fear of the Heavens,Fear of the Heavens,Secret of Mana,still_needs_review,,,false,Secret of Mana,,3216,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Main Theme,Main Theme,Super Smash Bros. Brawl,still_needs_review,,,false,Super Smash Bros. Brawl,,1628,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Lost Painting,Lost Painting,Castlevania: Symphony of the Night,still_needs_review,,,false,Castlevania: Symphony of the Night,,1128,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Roar / Rathalos,Roar / Rathalos,Monster Hunter,still_needs_review,,,false,Monster Hunter,4,384972,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Aquatic Ambience,Aquatic Ambience,Donkey Kong Country,still_needs_review,,,false,Donkey Kong Country,,1090,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
地下BGM,地下BGM,Super Mario Bros.,still_needs_review,,,false,Super Mario Bros.,,358,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Bowser's Galaxy Generator,Bowser's Galaxy Generator,Super Mario Galaxy,still_needs_review,,,false,Super Mario Galaxy,,1077,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Coconut Mall,Coconut Mall,Mario Kart Wii,still_needs_review,,,false,Mario Kart Wii,,2183,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Dark World,Dark World,The Legend of Zelda: A Link to the Past,still_needs_review,,,false,The Legend of Zelda: A Link to the Past,,1026,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Crimson Cloud,Crimson Cloud,Devil May Cry 5,still_needs_review,,,false,DmC: Devil May Cry,,1254,曲の公式配信は確認できるが、候補のlogical gameが別作品DmCへ誤対応しているため保留。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Zelda's Lullaby,Zelda's Lullaby,The Legend of Zelda: Ocarina of Time,still_needs_review,,,false,The Legend of Zelda: Ocarina of Time,,1029,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Air Man Stage,Air Man Stage,Mega Man 2,still_needs_review,,,false,Mega Man 2,,1715,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Armored Armadillo Stage,Armored Armadillo Stage,Mega Man X,still_needs_review,,,false,Mega Man X,,1741,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Ken's Theme,Ken's Theme,Street Fighter II,still_needs_review,,,false,Street Fighter II,,3186,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Hidden Village,Hidden Village,The Legend of Zelda: Twilight Princess,still_needs_review,,,false,The Legend of Zelda: Twilight Princess,,134014,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Jazzy NYC '99,Jazzy NYC '99,Street Fighter III: 3rd Strike,still_needs_review,,,false,Street Fighter III: 3rd Strike,,6710,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Viator,Viator,Street Fighter 6,still_needs_review,,,false,Street Fighter 6,,191692,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,medium
Suteki Da Ne,Suteki Da Ne,Final Fantasy X,still_needs_review,,,false,Final Fantasy X,,418,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Marble Zone,Marble Zone,Sonic the Hedgehog,still_needs_review,,,false,Sonic the Hedgehog,,3192,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
King Dedede's Theme,King Dedede's Theme,Kirby's Dream Land,still_needs_review,,,false,Kirby's Dream Land,,1063,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Casino Night Zone,Casino Night Zone,Sonic the Hedgehog 2,still_needs_review,,,false,Sonic the Hedgehog 2,,112884,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
You Can Do Anything,You Can Do Anything,Sonic CD,still_needs_review,,,false,Sonic CD,,5452,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
The Raging Lion Roars,The Raging Lion Roars,Kirby and the Forgotten Land,still_needs_review,,,false,Kirby and the Forgotten Land,,172427,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,medium
It Doesn't Matter,It Doesn't Matter,Sonic Adventure,still_needs_review,,,false,Sonic Adventure,,7860,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
For True Story,For True Story,Sonic Adventure 2,still_needs_review,,,false,Sonic Adventure 2,,7858,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Battle with Magus,Battle with Magus,Chrono Trigger,still_needs_review,,,false,Chrono Trigger,,1802,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Dream of the Shore Near Another World,Dream of the Shore Near Another World,Chrono Cross,still_needs_review,,,false,Chrono Cross,,1804,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Hikari,Hikari,Kingdom Hearts,still_needs_review,,,false,Kingdom Hearts,,393742,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Adventure,Adventure,Dragon Quest III,still_needs_review,,,false,Dragon Warrior III,,205600,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
地上BGM,地上BGM,Super Mario Bros. 3,still_needs_review,,,false,Super Mario Bros. 3,,1068,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
地上BGM,地上BGM,Super Mario World,still_needs_review,,,false,Super Mario World,,1070,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Bob-omb Battlefield,Bob-omb Battlefield,Super Mario 64,still_needs_review,,,false,Super Mario 64,3,1074,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Delfino Plaza,Delfino Plaza,Super Mario Sunshine,still_needs_review,,,false,Super Mario Sunshine,,1075,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Public Enemy,Public Enemy,Devil May Cry,still_needs_review,,,false,Devil May Cry,,134,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Sky Station Galaxy,Sky Station Galaxy,Super Mario Galaxy 2,still_needs_review,,,false,Super Mario Galaxy 2,,1078,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Gypsy Dance,Gypsy Dance,Dragon Quest IV,still_needs_review,,,false,Dragon Warrior IV,,16584,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Shall Never Surrender,Shall Never Surrender,Devil May Cry 4,still_needs_review,,,false,Devil May Cry 4,,112,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
U.M.A. NEW WORLD!!,U.M.A. NEW WORLD!!,Uma Musume: Pretty Derby,still_needs_review,,,false,Uma Musume: Pretty Derby,,,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,low
Super Bell Hill,Super Bell Hill,Super Mario 3D World,still_needs_review,,,false,Super Mario 3D World,,2180,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Toward the Horizon,Toward the Horizon,Dragon Quest V,still_needs_review,,,false,Dragon Quest V: Tenkuu no Hanayome,,205595,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Snake Man Stage,Snake Man Stage,Mega Man 3,still_needs_review,,,false,Mega Man 3,,1716,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
My Burden Is Light,My Burden Is Light,OneShot,still_needs_review,,,false,OneShot,,225565,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Rawk Hawk Battle,Rawk Hawk Battle,Paper Mario: The Thousand-Year Door,still_needs_review,,,false,Paper Mario: The Thousand-Year Door,,3349,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
凛として咲く花の如く,凛として咲く花の如く,pop'n music,still_needs_review,,,false,Pop'n music,,186652,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
In the Final,In the Final,Mario & Luigi: Bowser's Inside Story,still_needs_review,,,false,Mario & Luigi: Bowser's Inside Story,,3363,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Reach for the Stars,Reach for the Stars,Sonic Colors,still_needs_review,,,false,Sonic Colors,,2267,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Rooftop Run - Modern,Rooftop Run - Modern,Sonic Generations,still_needs_review,,,false,Sonic Generations,,506,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
The End of Denial,The End of Denial,Like a Dragon: Infinite Wealth,still_needs_review,,,false,Like a Dragon: Infinite Wealth - Master Vacation Bundle,,288217,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,medium
On Little Cat Feet,On Little Cat Feet,OneShot,still_needs_review,,,false,OneShot,,225565,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
GIRLS' LEGEND U,GIRLS' LEGEND U,Uma Musume: Pretty Derby,still_needs_review,,,false,Uma Musume: Pretty Derby,,,公式配信の曲名は確認できたが、既存logical gameへの安全な紐付けを確定できない。,https://music.apple.com/jp/album/girls-legend-u/1813815068?i=1813815069&uo=4,medium
Heat Haze Shadow 2,Heat Haze Shadow 2,Tekken 7,still_needs_review,,,false,Tekken 7,,394038,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Main Theme,Main Theme,Super Smash Bros. Ultimate,still_needs_review,,,false,Super Smash Bros. Ultimate,266,90101,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,low
Fighting of the Spirit,Fighting of the Spirit,Tales of Phantasia,still_needs_review,,,false,Tales of Phantasia,,1200,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
neu,neu,pop'n music,still_needs_review,,,false,Pop'n music,,186652,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Clock Tower,Clock Tower,Castlevania: Aria of Sorrow,still_needs_review,,,false,Castlevania: Aria of Sorrow,,1134,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Main Menu,Main Menu,Metroid Prime,still_needs_review,,,false,Metroid Prime,,1105,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Seashore War,Seashore War,Donkey Kong Country: Tropical Freeze,still_needs_review,,,false,Donkey Kong Country: Tropical Freeze,,2923,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Lock & Load,Lock & Load,Devil May Cry,still_needs_review,,,false,Devil May Cry,,134,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Onett Theme,Onett Theme,EarthBound,still_needs_review,,,false,Earthbound,,78559,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
The Time Has Come,The Time Has Come,Devil May Cry 4,still_needs_review,,,false,Devil May Cry 4,,112,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Strong One,Strong One,Mother 3,still_needs_review,,,false,Mother 3,,3683,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Top Man Stage,Top Man Stage,Mega Man 3,still_needs_review,,,false,Mega Man 3,,1716,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Battle for the Glory,Battle for the Glory,Dragon Quest IV,still_needs_review,,,false,Dragon Warrior IV,,16584,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Make Me Feel Sad,Make Me Feel Sad,Dragon Quest V,still_needs_review,,,false,Dragon Quest V: Tenkuu no Hanayome,,205595,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
砦のボス,砦のボス,Super Mario Bros. 3,still_needs_review,,,false,Super Mario Bros. 3,,1068,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
おばけ屋敷BGM,おばけ屋敷BGM,Super Mario World,still_needs_review,,,false,Super Mario World,,1070,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Bowser's Road,Bowser's Road,Super Mario 64,still_needs_review,,,false,Super Mario 64,3,1074,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Bianco Hills,Bianco Hills,Super Mario Sunshine,still_needs_review,,,false,Super Mario Sunshine,,1075,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Cloudy Court Galaxy,Cloudy Court Galaxy,Super Mario Galaxy 2,still_needs_review,,,false,Super Mario Galaxy 2,,1078,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
World Bowser,World Bowser,Super Mario 3D World,still_needs_review,,,false,Super Mario 3D World,,2180,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Shadow Queen Battle,Shadow Queen Battle,Paper Mario: The Thousand-Year Door,still_needs_review,,,false,Paper Mario: The Thousand-Year Door,,3349,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
The Grand Finale,The Grand Finale,Mario & Luigi: Bowser's Inside Story,still_needs_review,,,false,Mario & Luigi: Bowser's Inside Story,,3363,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
地上BGM,地上BGM,Super Mario Bros. 2,still_needs_review,,,false,Super Mario Bros.: The Lost Levels,,1066,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Battle Theme 1,Battle Theme 1,Final Fantasy II,still_needs_review,,,false,Final Fantasy II,,16474,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Koopa Bros. Battle,Koopa Bros. Battle,Paper Mario,still_needs_review,,,false,Paper Mario,,3340,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,medium
Combat - Destiny,Combat - Destiny,Triangle Strategy,still_needs_review,,,false,Triangle Strategy,,143610,原曲の公式配信・対象バージョン・logical gameの三点をhigh confidenceで同時に確認できない。,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,medium
