confirmed_title,original_candidate_title,logical_game,japanese_game_name,english_game_name,igdb_id,source_url,source_url_verified,new_game_required,existing_game_collision,cover_available,cover_url,alias_candidates,external_id,confidence,final_import_allowed,notes
Let's Get It On,Let's Get It On,Street Fighter III: 3rd Strike,ストリートファイターIII 3rd STRIKE,Street Fighter III: 3rd Strike,6710,https://music.apple.com/jp/album/lets-get-it-on/1086829691?i=1086829761&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co6bkh.jpg,Street Fighter III: 3rd Strike | ストリートファイターIII 3rd STRIKE | Street Fighter 3: 3rd Strike | ストIII 3rd,igdb:6710,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Sonic Boom,Sonic Boom,Sonic CD,ソニック・ザ・ヘッジホッグCD,Sonic CD,5452,https://music.apple.com/jp/album/sonic-boom/481138176?i=481138465&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co53t2.jpg,Sonic CD | ソニック・ザ・ヘッジホッグCD | Sonic the Hedgehog CD,igdb:5452,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Oshama Scramble!,Oshama Scramble!,Maimai,maimai,maimai,60813,https://music.apple.com/jp/album/oshama-scramble/1633656142?i=1633656800&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co30q9.jpg,Maimai,igdb:60813,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Rooftop Run - Day,Rooftop Run - Day,Sonic Unleashed,ソニック ワールドアドベンチャー,Sonic Unleashed,5169,https://music.apple.com/jp/album/rooftop-run-day/571273814?i=571273929&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2v6p.jpg,Sonic Unleashed | ソニック ワールドアドベンチャー | Sonic World Adventure,igdb:5169,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Suicide Mission,Suicide Mission,Mass Effect 2,Mass Effect 2,Mass Effect 2,74,https://music.apple.com/jp/album/suicide-mission/1519531007?i=1519531063&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co20ac.jpg,Mass Effect 2 | ME2,igdb:74,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Bellhart,Bellhart,Hollow Knight Silksong,Hollow Knight: Silksong,Hollow Knight: Silksong,115289,https://music.apple.com/jp/album/bellhart/1838949732?i=1838950295&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cobebu.jpg,Hollow Knight Silksong | Silksong | ホロウナイト シルクソング,igdb:115289,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Out of Tartarus,Out of Tartarus,Hades,HADES,Hades,113112,https://music.apple.com/jp/album/out-of-tartarus/1531339044?i=1531339317&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9kr.jpg,Hades,igdb:113112,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
SPARKING,Sparking,Tekken 5,鉄拳5,Tekken 5,393526,https://music.apple.com/jp/album/sparking/1724894188?i=1724894195&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cobp86.jpg,Tekken 5 | 鉄拳5,igdb:393526,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
MEGALOMANIA,Megalomania,Live A Live,ライブ・ア・ライブ,Live A Live,15835,https://music.apple.com/jp/album/megalomania/1696074156?i=1696074864&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2ywe.jpg,Live A Live | ライブ・ア・ライブ,igdb:15835,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Botanic Panic,Botanic Panic,Cuphead,Cuphead,Cuphead,9061,https://music.apple.com/jp/album/botanic-panic/1305353572?i=1305353580&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co62ao.jpg,Cuphead,igdb:9061,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
四魔貴族バトル1,四魔貴族バトル1,Romancing SaGa 3,ロマンシング サ・ガ3,Romancing SaGa 3,11313,https://music.apple.com/jp/album/%E5%9B%9B%E9%AD%94%E8%B2%B4%E6%97%8F%E3%83%90%E3%83%88%E3%83%AB1/191410205?i=191418873&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2x8k.jpg,Romancing SaGa 3 | ロマンシング サ・ガ3,igdb:11313,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
The Best Is Yet To Come,The Best Is Yet to Come,Metal Gear Solid,メタルギアソリッド,Metal Gear Solid,375,https://music.apple.com/jp/album/the-best-is-yet-to-come/1030633511?i=1030633512&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cobpak.jpg,Metal Gear Solid | メタルギアソリッド | MGS | MGS1,igdb:375,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Promise,Promise,Silent Hill 2,SILENT HILL 2,Silent Hill 2,481,https://music.apple.com/jp/album/promise/528515992?i=528516064&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2vyg.jpg,Silent Hill 2,igdb:481,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
meaning of birth,Meaning of Birth,Tales of the Abyss,テイルズ オブ ジ アビス,Tales of the Abyss,1207,https://music.apple.com/jp/album/meaning-of-birth/1469521878?i=1469521880&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co4yw8.jpg,Tales of the Abyss | テイルズ オブ ジ アビス | TOA,igdb:1207,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
愛のテーマ,Theme of Love,Final Fantasy IV,ファイナルファンタジーIV,Final Fantasy IV,16587,https://www.jp.square-enix.com/music/lineup/item/SEMO-00004.html,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co31c0.jpg,Final Fantasy IV | ファイナルファンタジーIV | FF4 | FFIV,igdb:16587,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
はるかなる故郷,"Home, Sweet Home",Final Fantasy V,ファイナルファンタジーV,Final Fantasy V,419,https://www.jp.square-enix.com/music/lineup/item/SEMO-00005-6.html,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co9p6d.jpg,Final Fantasy V | ファイナルファンタジーV | FF5 | FFV,igdb:419,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
J-E-N-O-V-A,J-E-N-O-V-A,Final Fantasy VII,ファイナルファンタジーVII,Final Fantasy VII,393025,https://music.apple.com/jp/album/j-e-n-o-v-a/61018952?i=61017139&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cobny6.jpg,Final Fantasy VII | ファイナルファンタジーVII | FF7 | FFVII,igdb:393025,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
The Extreme,The Extreme,Final Fantasy VIII,ファイナルファンタジーVIII,Final Fantasy VIII,425,https://music.apple.com/jp/album/the-extreme/62443271?i=62443233&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2z7d.jpg,Final Fantasy VIII | ファイナルファンタジーVIII | FF8 | FFVIII,igdb:425,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
バトル1,Battle 1,Final Fantasy IX,ファイナルファンタジーIX,Final Fantasy IX,421,https://www.jp.square-enix.com/music/lineup/item/SQEX-10009-12.html,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2unc.jpg,Final Fantasy IX | ファイナルファンタジーIX | FF9 | FFIX,igdb:421,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
The Front Hall,The Front Hall,Resident Evil 2,バイオハザード2,Resident Evil 2,880,https://music.apple.com/jp/album/the-front-hall/895690109?i=895690122&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2vz0.jpg,Resident Evil 2 | バイオハザード2 | BIOHAZARD 2 | RE2,igdb:880,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
You're Not Here,You're Not Here,Silent Hill 3,SILENT HILL 3,Silent Hill 3,482,https://music.apple.com/jp/album/youre-not-here/528517169?i=528517177&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co3kol.jpg,Silent Hill 3,igdb:482,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Instrument of Surrender,Instrument of Surrender,Disco Elysium,ディスコ エリジウム,Disco Elysium,26472,https://music.apple.com/jp/album/instrument-of-surrender/1659525966?i=1659525967&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sfj.jpg,Disco Elysium | ディスコ エリジウム,igdb:26472,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Uncharted Worlds,Uncharted Worlds,Mass Effect,Mass Effect,Mass Effect,73,https://music.apple.com/jp/album/uncharted-worlds/1522381102?i=1522381397&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x7o.jpg,Mass Effect | ME1,igdb:73,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Let Mom Sleep,Let Mom Sleep,Jet Set Radio,ジェットセットラジオ,Jet Set Radio,398453,https://music.apple.com/jp/album/let-mom-sleep/563463323?i=563463325&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/cobxjl.jpg,Jet Set Radio | ジェットセットラジオ | JSR,igdb:398453,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
"Whirling-In-Rags, 8 AM","Whirling-In-Rags, 8 AM",Disco Elysium,ディスコ エリジウム,Disco Elysium,26472,https://music.apple.com/jp/album/whirling-in-rags-8-am/1659525966?i=1659525968&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sfj.jpg,Disco Elysium | ディスコ エリジウム,igdb:26472,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
"The Second Malformation Of ""G""",The Second Malformation of G,Resident Evil 2,バイオハザード2,Resident Evil 2,880,https://music.apple.com/jp/album/the-second-malformation-of-g/895690109?i=895690135&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2vz0.jpg,Resident Evil 2 | バイオハザード2 | BIOHAZARD 2 | RE2,igdb:880,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Fighting of the spirit,Fighting of the Spirit,Tales of Symphonia,テイルズ オブ シンフォニア,Tales of Symphonia,1204,https://music.apple.com/jp/album/fighting-of-the-spirit/1668055223?i=1668062839&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co1peo.jpg,Tales of Symphonia | テイルズ オブ シンフォニア | ToS,igdb:1204,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Fury Sparks,Fury Sparks,Tales of Vesperia,テイルズ オブ ヴェスペリア,Tales of Vesperia,1209,https://music.apple.com/jp/album/fury-sparks/1660722483?i=1660728271&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co5gb4.jpg,Tales of Vesperia | テイルズ オブ ヴェスペリア | TOV,igdb:1209,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
End Of Small Sanctuary,End of Small Sanctuary,Silent Hill 3,SILENT HILL 3,Silent Hill 3,482,https://music.apple.com/jp/album/end-of-small-sanctuary/528517169?i=528517179&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co3kol.jpg,Silent Hill 3,igdb:482,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
Dreams Dreams,Dreams Dreams,Nights Into Dreams...,NiGHTS into dreams...,Nights Into Dreams...,5075,https://music.apple.com/jp/album/dreams-dreams/573385917?i=573386097&uo=4,true,false,none,true,https://images.igdb.com/igdb/image/upload/t_cover_big/co2n17.jpg,Nights Into Dreams... | ナイツ,igdb:5075,high,true,曲名ソース・IGDB確定ID・cover・DB重複を再確認済み
