candidate_title,confirmed_title,candidate_game,decision,existing_bgm_id,existing_title,new_import,logical_game_name,game_id,igdb_id,reason,source_url,confidence
Suicide Mission,Suicide Mission,Mass Effect 2,import_ready,,,true,Mass Effect 2,,74,日本向け公式配信・公式OST「Mass Effect 2 (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 74 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/suicide-mission/1519531007?i=1519531063&uo=4,high
Bellhart,Bellhart,Hollow Knight: Silksong,import_ready,,,true,Hollow Knight Silksong,,115289,日本向け公式配信・公式OST「Hollow Knight: Silksong (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 115289 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/bellhart/1838949732?i=1838950295&uo=4,high
Out of Tartarus,Out of Tartarus,Hades,import_ready,,,true,Hades,,113112,日本向け公式配信・公式OST「Hades: Original Soundtrack」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 113112 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/out-of-tartarus/1531339044?i=1531339317&uo=4,high
Sparking,SPARKING,Tekken 5,import_ready,,,true,Tekken 5,,393526,日本向け公式配信・公式OST「TEKKEN 5 (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 393526 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/sparking/1724894188?i=1724894195&uo=4,high
Megalomania,MEGALOMANIA,Live A Live,import_ready,,,true,Live A Live,,15835,日本向け公式配信・公式OST「LIVE A LIVE オリジナル・サウンドトラック (再発売)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 15835 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/megalomania/1696074156?i=1696074864&uo=4,high
Botanic Panic,Botanic Panic,Cuphead,import_ready,,,true,Cuphead,,9061,日本向け公式配信・公式OST「Cuphead (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 9061 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/botanic-panic/1305353572?i=1305353580&uo=4,high
四魔貴族バトル1,四魔貴族バトル1,Romancing SaGa 3,import_ready,,,true,Romancing SaGa 3,,11313,日本向け公式配信・公式OST「Romancing Sa・Ga 3 Original Soundtrack」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 11313 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/%E5%9B%9B%E9%AD%94%E8%B2%B4%E6%97%8F%E3%83%90%E3%83%88%E3%83%AB1/191410205?i=191418873&uo=4,high
The Best Is Yet to Come,The Best Is Yet To Come,Metal Gear Solid,import_ready,,,true,Metal Gear Solid,,375,日本向け公式配信・公式OST「METAL GEAR SOLID VOCAL TRACKS」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 375 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/the-best-is-yet-to-come/1030633511?i=1030633512&uo=4,high
Promise,Promise,Silent Hill 2,import_ready,,,true,Silent Hill 2,,481,日本向け公式配信・公式OST「SILENT HILL 2(Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 481 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/promise/528515992?i=528516064&uo=4,high
Meaning of Birth,meaning of birth,Tales of the Abyss,import_ready,,,true,Tales of the Abyss,,1207,日本向け公式配信・公式OST「SONG FOR TALES OF THE ABYSS (サウンドトラック)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 1207 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/meaning-of-birth/1469521878?i=1469521880&uo=4,high
Theme of Love,愛のテーマ,Final Fantasy IV,import_ready,,,true,Final Fantasy IV,,16587,日本向け公式配信・公式OST「ファイナルファンタジーIV オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 16587 を版区分まで照合。新規logical game作成が必要。,https://www.jp.square-enix.com/music/lineup/item/SEMO-00004.html,high
"Home, Sweet Home",はるかなる故郷,Final Fantasy V,import_ready,,,true,Final Fantasy V,,419,日本向け公式配信・公式OST「ファイナルファンタジーV オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 419 を版区分まで照合。新規logical game作成が必要。,https://www.jp.square-enix.com/music/lineup/item/SEMO-00005-6.html,high
J-E-N-O-V-A,J-E-N-O-V-A,Final Fantasy VII,import_ready,,,true,Final Fantasy VII,,393025,日本向け公式配信・公式OST「FINAL FANTASY VII Original Soundtrack」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 393025 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/j-e-n-o-v-a/61018952?i=61017139&uo=4,high
The Extreme,The Extreme,Final Fantasy VIII,import_ready,,,true,Final Fantasy VIII,,425,日本向け公式配信・公式OST「FINAL FANTASY VIII (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 425 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/the-extreme/62443271?i=62443233&uo=4,high
Battle 1,バトル1,Final Fantasy IX,import_ready,,,true,Final Fantasy IX,,421,日本向け公式配信・公式OST「ファイナルファンタジーIX オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 421 を版区分まで照合。新規logical game作成が必要。,https://www.jp.square-enix.com/music/lineup/item/SQEX-10009-12.html,high
The Front Hall,The Front Hall,Resident Evil 2,import_ready,,,true,Resident Evil 2,,880,日本向け公式配信・公式OST「バイオハザード 2 オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 880 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/the-front-hall/895690109?i=895690122&uo=4,high
You're Not Here,You're Not Here,Silent Hill 3,import_ready,,,true,Silent Hill 3,,482,日本向け公式配信・公式OST「SILENT HILL 3 (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 482 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/youre-not-here/528517169?i=528517177&uo=4,high
Instrument of Surrender,Instrument of Surrender,Disco Elysium,import_ready,,,true,Disco Elysium,,26472,日本向け公式配信・公式OST「Disco Elysium」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 26472 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/instrument-of-surrender/1659525966?i=1659525967&uo=4,high
Uncharted Worlds,Uncharted Worlds,Mass Effect,import_ready,,,true,Mass Effect,,73,日本向け公式配信・公式OST「Mass Effect」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 73 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/uncharted-worlds/1522381102?i=1522381397&uo=4,high
Let Mom Sleep,Let Mom Sleep,Jet Set Radio,import_ready,,,true,Jet Set Radio,,398453,日本向け公式配信・公式OST「Jet Set Radio SEGA Original Tracks」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 398453 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/let-mom-sleep/563463323?i=563463325&uo=4,high
"Whirling-In-Rags, 8 AM","Whirling-In-Rags, 8 AM",Disco Elysium,import_ready,,,true,Disco Elysium,,26472,日本向け公式配信・公式OST「Disco Elysium」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 26472 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/whirling-in-rags-8-am/1659525966?i=1659525968&uo=4,high
The Second Malformation of G,"The Second Malformation Of ""G""",Resident Evil 2,import_ready,,,true,Resident Evil 2,,880,日本向け公式配信・公式OST「バイオハザード 2 オリジナル・サウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 880 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/the-second-malformation-of-g/895690109?i=895690135&uo=4,high
Fighting of the Spirit,Fighting of the spirit,Tales of Symphonia,import_ready,,,true,Tales of Symphonia,,1204,日本向け公式配信・公式OST「テイルズ オブ シンフォニア オリジナルサウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 1204 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/fighting-of-the-spirit/1668055223?i=1668062839&uo=4,high
Fury Sparks,Fury Sparks,Tales of Vesperia,import_ready,,,true,Tales of Vesperia,,1209,日本向け公式配信・公式OST「テイルズ オブ ヴェスペリア オリジナルサウンドトラック」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 1209 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/fury-sparks/1660722483?i=1660728271&uo=4,high
End of Small Sanctuary,End Of Small Sanctuary,Silent Hill 3,import_ready,,,true,Silent Hill 3,,482,日本向け公式配信・公式OST「SILENT HILL 3 (Original Soundtrack)」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 482 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/end-of-small-sanctuary/528517169?i=528517179&uo=4,high
Dreams Dreams,Dreams Dreams,NiGHTS into Dreams...,import_ready,,,true,Nights Into Dreams...,,5075,日本向け公式配信・公式OST「NiGHTS into dreams... パーフェクトアルバム Vol. 1」で曲名を確認。IGDB検索で原作または楽曲収録対象のゲームID 5075 を版区分まで照合。新規logical game作成が必要。,https://music.apple.com/jp/album/dreams-dreams/573385917?i=573386097&uo=4,high
