logical_game_name,provider,external_id,confidence,notes
Final Fantasy VII Rebirth,igdb,133236,high,IGDB正式名・別名の完全一致候補が1件
Ōkami,igdb,1271,high,IGDB正式名・別名の完全一致候補が1件
Halo: Combat Evolved,igdb,740,high,IGDB正式名・別名の完全一致候補が1件
Minecraft,igdb,135400,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy XIV: Endwalker,igdb,143232,high,FootfallsとClose in the DistanceはいずれもEndwalker収録。base gameへ統合せずExpansionとして分離
Halo 2,igdb,986,high,IGDB正式名・別名の完全一致候補が1件
Ultrakill,igdb,124333,high,IGDB正式名・別名の完全一致候補が1件
Halo 3,igdb,987,high,IGDB正式名・別名の完全一致候補が1件
Omori,igdb,26673,high,IGDB正式名・別名の完全一致候補が1件
Doom (1993),igdb,673,high,At Doom's Gateは1993年原作収録。2016年版とは別logical game
Doom (2016),igdb,7351,high,年指定により2016年版を確定。1993年原作とは別logical game
Pokémon Platinum Version,igdb,1519,high,IGDB正式名・別名の完全一致候補が1件
Kingdom Hearts II,igdb,1221,high,IGDB正式名・別名の完全一致候補が1件
Doom Eternal,igdb,103298,high,IGDB正式名・別名の完全一致候補が1件
Nier Replicant,igdb,80468,high,IGDB正式名・別名の完全一致候補が1件
NieR: Automata,igdb,11208,high,IGDB正式名・別名の完全一致候補が1件
Sonic Frontiers,igdb,150010,high,IGDB正式名・別名の完全一致候補が1件
The Last of Us,igdb,1009,high,IGDB正式名・別名の完全一致候補が1件
Pokémon Omega Ruby and Alpha Sapphire,igdb,6897,high,ペア各版をIGDBで個別照合し、1つのlogical gameに統合する候補
Pokémon Omega Ruby and Alpha Sapphire,igdb,6898,high,ペア各版をIGDBで個別照合し、1つのlogical gameに統合する候補
Sonic X Shadow Generations,igdb,284716,high,IGDB正式名・別名の完全一致候補が1件
God of War,igdb,19560,high,年指定により2018年版を確定
Pokémon Ultra Sun and Ultra Moon,igdb,36792,high,ペア各版をIGDBで個別照合し、1つのlogical gameに統合する候補
Pokémon Ultra Sun and Ultra Moon,igdb,36793,high,ペア各版をIGDBで個別照合し、1つのlogical gameに統合する候補
Octopath Traveler,igdb,26765,high,IGDB正式名・別名の完全一致候補が1件
Yakuza 0,igdb,11397,high,IGDB別名『Like a Dragon 0: The Place of Oath』『龍が如く0 誓いの場所』と一致。Director's Cutとは分離
Ghost of Tsushima,igdb,75235,high,IGDB正式名・別名の完全一致候補が1件
Octopath Traveler II,igdb,217554,high,IGDB正式名・別名の完全一致候補が1件
Baldur's Gate III,igdb,119171,high,IGDB正式名・別名の完全一致候補が1件
Pokémon Legends: Arceus,igdb,144054,high,IGDB正式名・別名の完全一致候補が1件
Bravely Default,igdb,4700,high,IGDB正式名・別名の完全一致候補が1件
Dark Souls,igdb,2155,high,IGDB正式名・別名の完全一致候補が1件
The World Ends with You,igdb,1343,high,IGDB正式名・別名の完全一致候補が1件
Dark Souls III,igdb,11133,high,IGDB正式名・別名の完全一致候補が1件
Splatoon,igdb,7335,high,IGDB正式名・別名の完全一致候補が1件
Bloodborne,igdb,7334,high,IGDB正式名・別名の完全一致候補が1件
Splatoon 2,igdb,26761,high,IGDB正式名・別名の完全一致候補が1件
Romancing SaGa 2,igdb,11312,high,IGDB正式名・別名の完全一致候補が1件
Sekiro: Shadows Die Twice,igdb,76882,high,IGDB正式名・別名の完全一致候補が1件
Splatoon 3,igdb,143613,high,IGDB正式名・別名の完全一致候補が1件
Elden Ring,igdb,119133,high,IGDB正式名・別名の完全一致候補が1件
Super Smash Bros. Melee,igdb,1627,high,IGDB正式名・別名の完全一致候補が1件
Persona 3,igdb,9577,high,IGDB正式名・別名の完全一致候補が1件
Elden Ring: Shadow of the Erdtree,igdb,240009,high,IGDB正式名・別名の完全一致候補が1件
Persona 3 Reload,igdb,252647,high,IGDB正式名・別名の完全一致候補が1件
Metal Gear Rising: Revengeance,igdb,378,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem Awakening,igdb,1443,high,IGDB正式名・別名の完全一致候補が1件
Persona 4,igdb,9600,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem Fates: Special Edition,igdb,10229,high,IGDB正式名・別名の完全一致候補が1件
Persona 5,igdb,9927,high,IGDB正式名・別名の完全一致候補が1件
Stellar Blade,igdb,117170,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: Three Houses,igdb,26845,high,IGDB正式名・別名の完全一致候補が1件
Persona 5 Royal,igdb,114283,high,IGDB正式名・別名の完全一致候補が1件
Metaphor: ReFantazio,igdb,26602,high,IGDB正式名・別名の完全一致候補が1件
Donkey Kong Country 2: Diddy's Kong Quest,igdb,1092,high,IGDB正式名・別名の完全一致候補が1件
Ys VIII: Lacrimosa of Dana,igdb,27304,high,IGDB正式名・別名の完全一致候補が1件
F-Zero,igdb,3490,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Heroes: Trails in the Sky SC,igdb,16665,high,IGDB正式名とSC別名から確定
Clair Obscur: Expedition 33,igdb,305152,high,IGDB正式名・別名の完全一致候補が1件
Xenoblade Chronicles,igdb,2364,high,IGDB正式名・別名の完全一致候補が1件
Xenoblade Chronicles 3,igdb,191411,high,IGDB正式名・別名の完全一致候補が1件
Xenoblade Chronicles X,igdb,2366,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter 2,igdb,43668,high,IGDB正式名・別名の完全一致候補が1件
Risk of Rain 2,igdb,28512,high,IGDB正式名・別名の完全一致候補が1件
Goddess of Victory: Nikke,igdb,117199,high,IGDB正式名・別名の完全一致候補が1件
Astro Bot,igdb,303811,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy,igdb,385,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Freedom Unite,igdb,20427,high,IGDB正式名・別名の完全一致候補が1件
Resident Evil 7: Biohazard,igdb,19562,high,IGDB正式名・別名の完全一致候補が1件
Dead Cells,igdb,26855,high,IGDB正式名・別名の完全一致候補が1件
Arknights,igdb,123395,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy XII,igdb,398,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter 4,igdb,65676,high,IGDB正式名・別名の完全一致候補が1件
Resident Evil Village,igdb,55163,high,IGDB正式名・別名の完全一致候補が1件
Hyper Light Drifter,igdb,9806,high,IGDB正式名・別名の完全一致候補が1件
Fate/Grand Order,igdb,24493,high,IGDB正式名・別名の完全一致候補が1件
Kingdom Hearts III,igdb,2933,high,IGDB正式名・別名の完全一致候補が1件
Armored Core: For Answer,igdb,5493,high,IGDB正式名・別名の完全一致候補が1件
Shovel Knight,igdb,7444,high,IGDB正式名・別名の完全一致候補が1件
Granblue Fantasy,igdb,13623,high,IGDB正式名・別名の完全一致候補が1件
Armored Core: Verdict Day,igdb,5494,high,IGDB正式名・別名の完全一致候補が1件
Katana Zero,igdb,20150,high,IGDB正式名・別名の完全一致候補が1件
Metal Gear Solid 4: Guns of the Patriots,igdb,380,high,IGDB正式名・別名の完全一致候補が1件
Pizza Tower,igdb,135818,high,IGDB正式名・別名の完全一致候補が1件
Heaven Burns Red,igdb,132099,high,IGDB正式名・別名の完全一致候補が1件
Mario Kart 64,igdb,2342,high,IGDB正式名・別名の完全一致候補が1件
Dragon Quest VIII: Journey of the Cursed King,igdb,1819,high,2004年PS2原作。3DS expanded game・mobile portとは分離
Mega Man X4,igdb,1744,high,IGDB正式名・別名の完全一致候補が1件
Death Stranding,igdb,19564,high,IGDB正式名・別名の完全一致候補が1件
Punishing: Gray Raven,igdb,132185,high,IGDB正式名・別名の完全一致候補が1件
Mario Kart 8 Deluxe,igdb,26764,high,IGDB正式名・別名の完全一致候補が1件
Dragon Quest XI: Echoes of an Elusive Age,igdb,11667,high,IGDB正式名・別名の完全一致候補が1件
Street Fighter IV,igdb,884,high,IGDB正式名・別名の完全一致候補が1件
Death Stranding 2: On the Beach,igdb,228530,high,IGDB正式名・別名の完全一致候補が1件
Inscryption,igdb,139090,high,IGDB正式名・別名の完全一致候補が1件
Wuthering Waves,igdb,202956,high,IGDB正式名・別名の完全一致候補が1件
Bravely Second: End Layer,igdb,11256,high,IGDB正式名・別名の完全一致候補が1件
Sonic Heroes,igdb,4156,high,IGDB正式名・別名の完全一致候補が1件
NEO: The World Ends with You,igdb,141192,high,IGDB正式名・別名の完全一致候補が1件
The Elder Scrolls IV: Oblivion,igdb,59,high,IGDB正式名・別名の完全一致候補が1件
The Idolmaster: Cinderella Girls,igdb,11702,high,IGDB正式名・別名の完全一致候補が1件
Kirby's Adventure,igdb,3717,high,IGDB正式名・別名の完全一致候補が1件
SaGa Frontier,igdb,11310,high,IGDB正式名・別名の完全一致候補が1件
Grand Theft Auto: San Andreas,igdb,732,high,IGDB正式名・別名の完全一致候補が1件
BanG Dream! Girls Band Party!,igdb,80138,high,IGDB正式名・別名の完全一致候補が1件
Kirby 64: The Crystal Shards,igdb,2713,high,IGDB正式名・別名の完全一致候補が1件
Trials of Mana (1995),igdb,11227,high,Meridian Childは1995年原作（Seiken Densetsu 3）収録。IGDB 119391の2020 remakeとは分離
Yakuza Kiwami,igdb,12595,high,IGDB正式名・別名の完全一致候補が1件
Grand Theft Auto V,igdb,1020,high,IGDB正式名・別名の完全一致候補が1件
Love Live! School Idol Festival,igdb,36660,high,IGDB正式名・別名の完全一致候補が1件
Kirby's Return to Dream Land,igdb,3725,high,IGDB正式名・別名の完全一致候補が1件
Shin Megami Tensei III: Nocturne,igdb,336392,high,IGDB正式名・別名の完全一致候補が1件
Yakuza 6: The Song of Life,igdb,12527,high,IGDB正式名・別名の完全一致候補が1件
Half-Life 2,igdb,233,high,IGDB正式名・別名の完全一致候補が1件
Shin Megami Tensei IV,igdb,6886,high,IGDB正式名・別名の完全一致候補が1件
Yakuza: Like a Dragon,igdb,36550,high,IGDB正式名・別名の完全一致候補が1件
Kirby: Planet Robobot,igdb,18221,high,IGDB正式名・別名の完全一致候補が1件
Shin Megami Tensei V,igdb,26775,high,IGDB正式名・別名の完全一致候補が1件
The Last of Us Part II,igdb,26192,high,IGDB正式名・別名の完全一致候補が1件
Kirby Star Allies,igdb,37137,high,IGDB正式名・別名の完全一致候補が1件
Ys IX: Monstrum Nox,igdb,113431,high,IGDB正式名・別名の完全一致候補が1件
God of War Ragnarök,igdb,112875,high,IGDB正式名・別名の完全一致候補が1件
Ys X: Nordics,igdb,229176,high,IGDB正式名・別名の完全一致候補が1件
Jet Set Radio Future,igdb,1570,high,IGDB正式名・別名の完全一致候補が1件
Horizon Zero Dawn,igdb,11156,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Heroes: Trails of Cold Steel,igdb,13557,high,2013年原作。II以降・Kai remasterとは分離
Horizon Forbidden West,igdb,112874,high,IGDB正式名・別名の完全一致候補が1件
The Legend of Heroes: Trails of Cold Steel III,igdb,26564,high,IGDB正式名・別名の完全一致候補が1件
Tekken 8,igdb,217590,high,IGDB正式名・別名の完全一致候補が1件
Ghost of Yotei,igdb,317627,high,IGDB正式名・別名の完全一致候補が1件
Dark Souls II,igdb,2368,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: The Blazing Blade,igdb,1439,high,IGDB 1439『Fire Emblem』の別名『The Blazing Blade』『Rekka no Ken』から確定
Castlevania III: Dracula's Curse,igdb,1119,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: Path of Radiance,igdb,1441,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: Radiant Dawn,igdb,1442,high,IGDB正式名・別名の完全一致候補が1件
Tales of Berseria,igdb,18812,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem Engage,igdb,217550,high,IGDB正式名・別名の完全一致候補が1件
Tales of Arise,igdb,119270,high,IGDB正式名・別名の完全一致候補が1件
Atelier Ryza: Ever Darkness & the Secret Hideout,igdb,119061,high,IGDB正式名・別名の完全一致候補が1件
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,igdb,314943,high,IGDB正式名・別名の完全一致候補が1件
Animal Crossing,igdb,2655,high,IGDB正式名・別名の完全一致候補が1件
Animal Crossing: New Leaf,igdb,2687,high,IGDB正式名・別名の完全一致候補が1件
Animal Crossing: New Horizons,igdb,109462,high,IGDB正式名・別名の完全一致候補が1件
F-Zero GX,igdb,3492,high,IGDB正式名・別名の完全一致候補が1件
Kirby: Triple Deluxe,igdb,5440,high,IGDB正式名・別名の完全一致候補が1件
Yakuza 5,igdb,2063,high,IGDB正式名・別名の完全一致候補が1件
Princess Connect! Re:Dive,igdb,22791,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: The Sacred Stones,igdb,1440,high,IGDB正式名・別名の完全一致候補が1件
Atelier Ryza 2: Lost Legends & the Secret Fairy,igdb,136414,high,IGDB正式名・別名の完全一致候補が1件
Atelier Sophie: The Alchemist of the Mysterious Book,igdb,12633,high,IGDB正式名・別名の完全一致候補が1件
Super Mario Bros.,igdb,358,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Monster Hunter,igdb,384972,medium,既存game_id=4への追加候補。既存logical game一致。同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Resident Evil 4,igdb,974,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Portal,igdb,14546,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Galaxy,igdb,1077,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mario Kart Wii,igdb,2183,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy IV,igdb,16587,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Legend of Zelda: A Link to the Past,igdb,1026,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy V,igdb,419,medium,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Hollow Knight Silksong,igdb,372563,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Maimai,igdb,60813,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Legend of Zelda: Ocarina of Time,igdb,1029,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Metal Gear Solid,igdb,375,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Chunithm,igdb,56388,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy VII,igdb,393025,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Hades,igdb,80529,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy VIII,igdb,425,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Legend of Zelda: Twilight Princess,igdb,134014,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy IX,igdb,421,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
DmC: Devil May Cry,igdb,1254,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Cuphead,igdb,9061,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Jubeat,igdb,79960,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy X,igdb,418,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mega Man 2,igdb,1715,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Silent Hill 2,igdb,481,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mega Man X,igdb,1741,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Elder Scrolls V: Skyrim,igdb,472,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Street Fighter II,igdb,3186,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Kirby's Dream Land,igdb,1063,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Street Fighter III: 3rd Strike,igdb,6710,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
The Idolmaster,igdb,281482,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Street Fighter 6,igdb,191692,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Kirby and the Forgotten Land,igdb,172427,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic the Hedgehog,igdb,3192,medium,同名候補18件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Chrono Trigger,igdb,1802,medium,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic the Hedgehog 2,igdb,112884,medium,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Chrono Cross,igdb,1804,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic CD,igdb,5452,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Kingdom Hearts,igdb,393742,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Adventure,igdb,7860,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Adventure 2,igdb,7858,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Unleashed,igdb,133942,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mass Effect 2,igdb,74,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Dragon Warrior III,igdb,205600,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tekken 3,igdb,1244,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tekken 5,igdb,393526,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Live A Live,igdb,15835,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Romancing SaGa 3,igdb,11313,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Secret of Mana,igdb,3216,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Smash Bros. Brawl,igdb,1628,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Castlevania: Symphony of the Night,igdb,1128,medium,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Donkey Kong Country,igdb,1090,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tales of the Abyss,igdb,1207,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Bros. 3,igdb,1068,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Resident Evil 2,igdb,880,medium,同名候補8件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario World,igdb,1070,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario 64,igdb,1074,medium,既存game_id=3への追加候補。既存logical game一致。同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Sunshine,igdb,1075,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Devil May Cry,igdb,134,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Galaxy 2,igdb,1078,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Dragon Warrior IV,igdb,16584,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Devil May Cry 4,igdb,112,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario 3D World,igdb,2180,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Dragon Quest V: Tenkuu no Hanayome,igdb,205595,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mega Man 3,igdb,1716,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
OneShot,igdb,225565,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Paper Mario: The Thousand-Year Door,igdb,3349,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Silent Hill 3,igdb,482,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Disco Elysium,igdb,26472,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Pop'n music,igdb,186652,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mario & Luigi: Bowser's Inside Story,igdb,3363,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Colors,igdb,2267,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Generations,igdb,506,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mass Effect,igdb,73,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Like a Dragon: Infinite Wealth - Master Vacation Bundle,igdb,288217,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Jet Set Radio,igdb,398453,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tekken 7,igdb,394038,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Smash Bros. Ultimate,igdb,90101,high,IGDB正式名・別名の完全一致候補が1件
Tales of Phantasia,igdb,1200,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tales of Symphonia,igdb,1204,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tales of Vesperia,igdb,1209,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Castlevania: Aria of Sorrow,igdb,1134,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Metroid Prime,igdb,1105,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Donkey Kong Country: Tropical Freeze,igdb,2923,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Earthbound,igdb,78559,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
