rank,bgm_title,source_game_title,logical_game_name,existing_game_id,new_game_required,igdb_id,duplicate_status,confidence,notes
74,Somnus,Final Fantasy XV,Final Fantasy XV,,true,359,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
76,Geralt of Rivia,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,,true,1942,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
77,Summer (Nature's Crescendo),Stardew Valley,Stardew Valley,,true,17000,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
78,The Disappearance of Hatsune Miku,Hatsune Miku: Project DIVA,Hatsune Miku: Project Diva,,true,11754,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
80,Ascension,Final Fantasy XVI,Final Fantasy XVI,,true,31551,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
82,Never Fade Away,Cyberpunk 2077,Cyberpunk 2077,,true,1877,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
83,Underground,Terraria,Terraria,,true,1879,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
85,Candy Mountain,Kirby Super Star,Kirby Super Star,,true,3719,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
86,Airbuster,Final Fantasy VII Remake,Final Fantasy VII Remake,,true,11169,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
88,That's the Way It Is,Red Dead Redemption 2,Red Dead Redemption 2,,true,25076,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
89,Subwoofer Lullaby,Minecraft: Java Edition,Minecraft: Java Edition,,true,121,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
90,Rapid as Wildfires,Genshin Impact,Genshin Impact,,true,119277,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
92,No Promises to Keep,Final Fantasy VII Rebirth,Final Fantasy VII Rebirth,,true,133236,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
93,Reset,Ōkami,Ōkami,,true,1271,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
94,Halo,Halo: Combat Evolved,Halo: Combat Evolved,,true,740,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
95,Pigstep,Minecraft,Minecraft,,true,135400,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
96,Pedujara: Even Immortality Ends,Honkai: Star Rail,Honkai Star Rail,7,false,178282,not_duplicate,high,既存logical game一致。IGDB正式名・別名の完全一致候補が1件
97,戦闘！トレーナー,ポケットモンスター 赤・緑,ポケットモンスター 赤・緑,93,false,1511|1561,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
98,Footfalls,Final Fantasy XIV Online,Final Fantasy XIV: Endwalker,,true,143232,not_duplicate,high,FootfallsとClose in the DistanceはいずれもEndwalker収録。base gameへ統合せずExpansionとして分離
100,Halo Theme Mjolnir Mix,Halo 2,Halo 2,,true,986,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
101,The Cyber Grind,ULTRAKILL,Ultrakill,,true,124333,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
102,60% Daily,Zenless Zone Zero,Zenless Zone Zero,,true,200551,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
103,戦闘！野生ポケモン,ポケットモンスター 金・銀,ポケットモンスター 金・銀,94,false,1513|1558,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
106,One Final Effort,Halo 3,Halo 3,,true,987,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
107,World's End Valentine,OMORI,Omori,,true,26673,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
108,Usagi Flap,Blue Archive,Blue Archive,,true,139391,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
109,戦闘！野生ポケモン,ポケットモンスター ルビー・サファイア,ポケットモンスター ルビー・サファイア,95,false,1515|1557,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
112,At Doom's Gate,Doom,Doom (1993),,true,673,not_duplicate,high,At Doom's Gateは1993年原作収録。2016年版とは別logical game
114,"Fly, My Wings",Limbus Company,Limbus Company,,true,194106,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
115,戦闘！野生ポケモン,ポケットモンスター ダイヤモンド・パール,ポケットモンスター ダイヤモンド・パール,96,false,1518|1560,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
118,BFG Division,DOOM (2016),Doom (2016),,true,7351,not_duplicate,high,年指定により2016年版を確定。1993年原作とは別logical game
119,Cara Mia Addio,Portal 2,Portal 2,,true,72,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
121,戦闘！フロンティアブレーン,Pokémon Platinum,Pokémon Platinum Version,,true,1519,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
122,Sanctuary,Kingdom Hearts II,Kingdom Hearts II,,true,1221,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
124,The Only Thing They Fear Is You,DOOM Eternal,Doom Eternal,,true,103298,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
125,Bonetrousle,Undertale,Undertale,,true,12517,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
127,戦闘！野生ポケモン,ポケットモンスター ブラック・ホワイト,ポケットモンスター ブラック・ホワイト,97,false,1522|1521,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
128,Song of the Ancients / Devola,NieR Replicant,Nier Replicant,,true,80468,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
131,The World Revolving,Deltarune,Deltarune,,true,171233,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
132,For UltraPlayers,SOUND VOLTEX,Sound Voltex Nabla,,true,382474,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
133,戦闘！アクロマ,ポケットモンスター ブラック2・ホワイト2,ポケットモンスター ブラック2・ホワイト2,6,false,8284|8353,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
134,City Ruins - Rays of Light,NieR: Automata,NieR: Automata,,true,11208,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
135,I'm Here,Sonic Frontiers,Sonic Frontiers,,true,150010,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
136,The Last of Us,The Last of Us,The Last of Us,,true,1009,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
137,Mantis Lords,Hollow Knight,Hollow Knight,,true,14593,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
138,V,beatmania IIDX,Beatmania IIDX,,true,94920,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
139,戦闘！ヒガナ,Pokémon Omega Ruby and Alpha Sapphire,Pokémon Omega Ruby and Alpha Sapphire,,true,6897|6898,not_duplicate,high,ペア各版をIGDBで個別照合し、1つのlogical gameに統合する候補
141,All Hail Shadow,Sonic X Shadow Generations,Sonic X Shadow Generations,,true,284716,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
142,God of War,God of War (2018),God of War,,true,19560,not_duplicate,high,年指定により2018年版を確定
145,戦闘！ウルトラネクロズマ,Pokémon Ultra Sun and Ultra Moon,Pokémon Ultra Sun and Ultra Moon,,true,36792|36793,not_duplicate,high,ペア各版をIGDBで個別照合し、1つのlogical gameに統合する候補
146,Battle at Journey's End,Octopath Traveler,Octopath Traveler,,true,26765,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
147,24-Hour Cinderella,Like a Dragon 0,Yakuza 0,,true,11397,not_duplicate,high,IGDB別名『Like a Dragon 0: The Place of Oath』『龍が如く0 誓いの場所』と一致。Director's Cutとは分離
148,The Way of the Ghost,Ghost of Tsushima,Ghost of Tsushima,,true,75235,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
149,Scattered and Lost,Celeste,Celeste,,true,26226,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
150,幽玄ノ乱,Taiko no Tatsujin,Taiko no Tatsujin: Niji-iro Version,,true,319924,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
151,戦闘！マリィ,ポケットモンスター ソード・シールド,ポケットモンスター ソード・シールド,100,false,115653|37382,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
152,Critical Clash II,Octopath Traveler II,Octopath Traveler II,,true,217554,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
154,Raphael's Final Act,Baldur's Gate 3,Baldur's Gate III,,true,119171,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
156,セカイ,Project SEKAI COLORFUL STAGE!,Hatsune Miku: Colorful Stage!,,true,139134,not_duplicate,high,IGDB別名『Project SEKAI COLORFUL STAGE! feat. Hatsune Miku』と一致
157,戦闘！ウォロ,Pokémon Legends: Arceus,Pokémon Legends: Arceus,,true,144054,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
158,That Person's Name Is,Bravely Default,Bravely Default,,true,4700,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
161,The Titan of Time,Hades II,Hades II,,true,228525,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
162,World is Mine,Hatsune Miku: Project DIVA,Hatsune Miku: Project Diva,,true,11754,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
163,戦闘！スター団,ポケットモンスター スカーレット・バイオレット,ポケットモンスター スカーレット・バイオレット,92,false,191930|191931,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
165,Ornstein & Smough,Dark Souls,Dark Souls,,true,2155,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
166,Blockade,Ace Combat 04: Shattered Skies,Ace Combat 04: Shattered Skies,,true,9763,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
169,時の海を越えて,ポケモン不思議のダンジョン 時の探検隊・闇の探検隊,ポケモン不思議のダンジョン 時の探検隊・闇の探検隊,91,false,2322|2321,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
170,Calling,The World Ends with You,The World Ends with You,,true,1343,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
171,Abyss Watchers,Dark Souls III,Dark Souls III,,true,11133,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
172,First Flight,Ace Combat 5: The Unsung War,Ace Combat 5: The Unsung War,,true,14753,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
173,"Naru, Embracing the Light",Ori and the Blind Forest,Ori and the Blind Forest,,true,7344,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
174,Childe Boss Theme (Rapture of the Chaos),Genshin Impact,Genshin Impact,,true,119277,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
175,シオカラ節,Splatoon,Splatoon,,true,7335,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
177,Cleric Beast,Bloodborne,Bloodborne,,true,7334,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
178,Mayhem,Ace Combat Zero: The Belkan War,Ace Combat Zero: The Belkan War,,true,14754,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
179,Shriek and Ori,Ori and the Will of the Wisps,Ori and the Will of the Wisps,,true,37001,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
180,Nevermore,Honkai: Star Rail,Honkai Star Rail,7,false,178282,not_duplicate,high,既存logical game一致。IGDB正式名・別名の完全一致候補が1件
181,フライ・オクト・フライ,Splatoon 2,Splatoon 2,,true,26761,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
182,七英雄バトル,Romancing SaGa 2,Romancing SaGa 2,,true,11312,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
183,Genichiro Ashina,Sekiro: Shadows Die Twice,Sekiro: Shadows Die Twice,,true,76882,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
184,Mimic,Ace Combat 7: Skies Unknown,Ace Combat 7: Skies Unknown,,true,14758,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
185,Fall (The Smell of Mushroom),Stardew Valley,Stardew Valley,,true,17000,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
186,Anarchy Rainbow,Splatoon 3,Splatoon 3,,true,143613,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
188,Main Theme,Elden Ring,Elden Ring,,true,119133,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
189,The Man Who Burned It All,Armored Core VI: Fires of Rubicon,Armored Core VI: Fires of Rubicon,,true,228542,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
190,Boss 1,Terraria,Terraria,,true,1879,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
191,Opening,Super Smash Bros. Melee,Super Smash Bros. Melee,,true,1627,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
192,Burn My Dread,Persona 3,Persona 3,,true,9577,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
193,Divine Beast Dancing Lion,Elden Ring: Shadow of the Erdtree,Elden Ring: Shadow of the Erdtree,,true,240009,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
195,Living Mice,Minecraft: Java Edition,Minecraft: Java Edition,,true,121,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
197,Full Moon Full Life,Persona 3 Reload,Persona 3 Reload,,true,252647,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
198,A Stranger I Remain,Metal Gear Rising: Revengeance,Metal Gear Rising: Revengeance,,true,378,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
199,Can't Say Goodbye to Yesterday,Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,,true,376,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
200,Otherside,Minecraft,Minecraft,,true,135400,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
201,Don't Speak Her Name!,Fire Emblem Awakening,Fire Emblem Awakening,,true,1443,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
202,"Heartbeat, Heartbreak",Persona 4,Persona 4,,true,9600,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
204,Battle in the Base,Metal Gear Solid 3: Snake Eater,Metal Gear Solid 3: Snake Eater,,true,379,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
205,ORDER,ULTRAKILL,Ultrakill,,true,124333,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
206,Lost in Thoughts All Alone,Fire Emblem Fates,Fire Emblem Fates: Special Edition,,true,10229,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
207,Last Surprise,Persona 5,Persona 5,,true,9927,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
208,Flooded Commercial Sector,Stellar Blade,Stellar Blade,,true,117170,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
209,Not Tomorrow,Silent Hill,Silent Hill f,,true,222343,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
210,Final Duet,OMORI,Omori,,true,26673,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
211,God-Shattering Star,Fire Emblem: Three Houses,Fire Emblem: Three Houses,,true,26845,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
212,I Believe,Persona 5 Royal,Persona 5 Royal,,true,114283,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
215,Science Is Fun,Portal 2,Portal 2,,true,72,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
217,Battle Theme,Metaphor: ReFantazio,Metaphor: ReFantazio,,true,26602,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
218,Ceadeus Battle,Monster Hunter 3,Monster Hunter Tri,,true,2268,not_duplicate,high,IGDB別名『Monster Hunter 3 (tri-)』『モンスターハンター3』から原作を確定。3 Ultimateとは分離
219,Spear of Justice,Undertale,Undertale,,true,12517,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
220,Forest Interlude,Donkey Kong Country 2: Diddy's Kong Quest,Donkey Kong Country 2: Diddy's Kong Quest,,true,1092,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
221,Sunshine Coastline,Ys VIII: Lacrimosa of Dana,Ys VIII: Lacrimosa of Dana,,true,27304,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
222,Silver-Winged Star / Valstrax,Monster Hunter Generations Ultimate,Monster Hunter Generations Ultimate,,true,25623,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
223,Mute City,F-Zero,F-Zero,,true,3490,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
224,"Silver Will, Golden Wings",Trails in the Sky SC,The Legend of Heroes: Trails in the Sky SC,,true,16665,not_duplicate,high,IGDB正式名とSC別名から確定
225,Pride of a Nameless Hunter,Monster Hunter: World,Monster Hunter: World,2,false,36926,not_duplicate,high,既存logical game一致。IGDB正式名・別名の完全一致候補が1件
228,Brutish Indigo Rages / Brachydios,Monster Hunter: World - Iceborne,Monster Hunter: World - Iceborne,,true,113344,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
230,Lumière,Clair Obscur: Expedition 33,Clair Obscur: Expedition 33,,true,305152,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
231,Sanctuary Abandoned by the Gods,Monster Hunter Rise,Monster Hunter Rise,,true,138950,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
232,Break Free (Lead the Way),Super Mario Odyssey,Super Mario Odyssey,,true,26758,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
233,Engage the Enemy,Xenoblade Chronicles,Xenoblade Chronicles,,true,2364,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
236,Mor Ardain - Roaming the Wastes,Xenoblade Chronicles 2,Xenoblade Chronicles 2,,true,26766,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
237,The White Wraith,Monster Hunter Wilds,Monster Hunter Wilds,,true,279661,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
238,Dungeon Theme,The Legend of Zelda,The Legend of Zelda,,true,1022,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
239,Keves Battle,Xenoblade Chronicles 3,Xenoblade Chronicles 3,,true,191411,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
240,Divine Hate,Devil May Cry 3: Dante's Awakening,Devil May Cry 3: Dante's Awakening,,true,136,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
242,Battle 2,Final Fantasy III,Final Fantasy III,,true,77234,not_duplicate,high,1990年FC原作。IGDB 426は北米でFinal Fantasy IIIと呼ばれたFFVIのため除外
250,Molgera,The Legend of Zelda: The Wind Waker,The Legend of Zelda: The Wind Waker,,true,1033,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
251,Dancing Mad,FINAL FANTASY VI,FINAL FANTASY VI,102,false,426,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
256,Fi's Farewell,The Legend of Zelda: Skyward Sword,The Legend of Zelda: Skyward Sword,,true,534,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
259,Guardian Battle,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild,,true,7346,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
261,Ryoshima Coast,Ōkami,Ōkami,,true,1271,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
262,Demon King Ganondorf Battle,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,,true,119388,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
266,The Sunleth Waterscape,Final Fantasy XIII,Final Fantasy XIII,,true,389,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
268,Marx Battle,Kirby Super Star,Kirby Super Star,,true,3719,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
269,Apocalypsis Noctis,Final Fantasy XV,Final Fantasy XV,,true,359,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
272,"No Risk, No Reward",Final Fantasy XVI,Final Fantasy XVI,,true,31551,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
274,戦闘！ジムリーダー,ポケットモンスター 赤・緑,ポケットモンスター 赤・緑,93,false,1511|1561,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
275,"Midgar, City of Mako",Final Fantasy VII Remake,Final Fantasy VII Remake,,true,11169,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
277,戦闘！トレーナー,ポケットモンスター 金・銀,ポケットモンスター 金・銀,94,false,1513|1558,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
278,Bow Wow Wow,Final Fantasy VII Rebirth,Final Fantasy VII Rebirth,,true,133236,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
279,戦闘！トレーナー,ポケットモンスター ルビー・サファイア,ポケットモンスター ルビー・サファイア,95,false,1515|1557,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
280,Close in the Distance,Final Fantasy XIV Online,Final Fantasy XIV: Endwalker,,true,143232,not_duplicate,high,FootfallsとClose in the DistanceはいずれもEndwalker収録。base gameへ統合せずExpansionとして分離
281,戦闘！トレーナー,ポケットモンスター ダイヤモンド・パール,ポケットモンスター ダイヤモンド・パール,96,false,1518|1560,not_duplicate,high,既存games/game_aliases完全一致。既存IGDB紐付けを維持
283,戦闘！ギラティナ,Pokémon Platinum,Pokémon Platinum Version,,true,1519,not_duplicate,high,IGDB正式名・別名の完全一致候補が1件
