logical_game_name,normalized_name,source_game_title,primary_igdb_id,all_igdb_ids,released,image_url_candidate,confidence,notes
Celeste,celeste,Celeste,26226,26226,2018-01-25,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9dh.jpg,high,IGDB正式名・別名の完全一致候補が1件
Chrono Cross,chronocross,Chrono Cross,1804,1804,1999-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co1oj7.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Chrono Trigger,chronotrigger,Chrono Trigger,1802,1802,1995-03-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co3plw.jpg,medium,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Chunithm,chunithm,CHUNITHM,56388,56388,2015-07-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co2s6l.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Clair Obscur: Expedition 33,clairobscurexpedition33,Clair Obscur: Expedition 33,305152,305152,2025-04-24,https://images.igdb.com/igdb/image/upload/t_cover_big/co9gam.jpg,high,IGDB正式名・別名の完全一致候補が1件
Cuphead,cuphead,Cuphead,9061,9061,2017-09-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co62ao.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Cyberpunk 2077,cyberpunk2077,Cyberpunk 2077,1877,1877,2020-12-10,https://images.igdb.com/igdb/image/upload/t_cover_big/coaih8.jpg,high,IGDB正式名・別名の完全一致候補が1件
Dark Souls,darksouls,Dark Souls,2155,2155,2011-09-22,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x78.jpg,high,IGDB正式名・別名の完全一致候補が1件
Dark Souls II,darksoulsii,Dark Souls II,2368,2368,2014-03-11,https://images.igdb.com/igdb/image/upload/t_cover_big/cobysr.jpg,high,IGDB正式名・別名の完全一致候補が1件
Dark Souls III,darksoulsiii,Dark Souls III,11133,11133,2016-03-24,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9ed.jpg,high,IGDB正式名・別名の完全一致候補が1件
Dead Cells,deadcells,Dead Cells,26855,26855,2018-08-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co7jfv.jpg,high,IGDB正式名・別名の完全一致候補が1件
Death Stranding,deathstranding,Death Stranding,19564,19564,2019-11-08,https://images.igdb.com/igdb/image/upload/t_cover_big/cocsvh.jpg,high,IGDB正式名・別名の完全一致候補が1件
Death Stranding 2: On the Beach,deathstranding2onthebeach,Death Stranding 2: On the Beach,228530,228530,2025-06-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co9ipx.jpg,high,IGDB正式名・別名の完全一致候補が1件
Deltarune,deltarune,Deltarune,171233,171233,2025-06-04,https://images.igdb.com/igdb/image/upload/t_cover_big/co9m71.jpg,high,IGDB正式名・別名の完全一致候補が1件
Devil May Cry,devilmaycry,Devil May Cry,134,134,2001-08-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co9ck7.jpg,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Devil May Cry 3: Dante's Awakening,devilmaycry3dantesawakening,Devil May Cry 3: Dante's Awakening,136,136,2005-02-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co1u6u.jpg,high,IGDB正式名・別名の完全一致候補が1件
Devil May Cry 4,devilmaycry4,Devil May Cry 4,112,112,2008-01-31,https://images.igdb.com/igdb/image/upload/t_cover_big/co1u6n.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Disco Elysium,discoelysium,Disco Elysium,26472,26472,2019-10-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co1sfj.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
DmC: Devil May Cry,dmcdevilmaycry,Devil May Cry 5,1254,1254,2013-01-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co1u77.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Donkey Kong Country,donkeykongcountry,Donkey Kong Country,1090,1090,1994-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co70qn.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Donkey Kong Country 2: Diddy's Kong Quest,donkeykongcountry2diddyskongquest,Donkey Kong Country 2: Diddy's Kong Quest,1092,1092,1995-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co217m.jpg,high,IGDB正式名・別名の完全一致候補が1件
Donkey Kong Country: Tropical Freeze,donkeykongcountrytropicalfreeze,Donkey Kong Country: Tropical Freeze,2923,2923,2014-02-13,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wf2.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Doom (1993),doom1993,Doom,673,673,1993-12-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co5rav.jpg,high,At Doom's Gateは1993年原作収録。2016年版とは別logical game
Doom (2016),doom2016,DOOM (2016),7351,7351,2016-05-12,https://images.igdb.com/igdb/image/upload/t_cover_big/co1nc7.jpg,high,年指定により2016年版を確定。1993年原作とは別logical game
Doom Eternal,doometernal,DOOM Eternal,103298,103298,2020-03-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co3p5n.jpg,high,IGDB正式名・別名の完全一致候補が1件
Dragon Quest V: Tenkuu no Hanayome,dragonquestvtenkuunohanayome,Dragon Quest V,205595,205595,1992-09-27,https://images.igdb.com/igdb/image/upload/t_cover_big/co4vsl.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Dragon Quest VIII: Journey of the Cursed King,dragonquestviiijourneyofthecursedking,Dragon Quest VIII,1819,1819,2004-11-27,https://images.igdb.com/igdb/image/upload/t_cover_big/co7vf2.jpg,high,2004年PS2原作。3DS expanded game・mobile portとは分離
Dragon Quest XI: Echoes of an Elusive Age,dragonquestxiechoesofanelusiveage,Dragon Quest XI,11667,11667,2017-07-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x9d.jpg,high,IGDB正式名・別名の完全一致候補が1件
Dragon Warrior III,dragonwarrioriii,Dragon Quest III,205600,205600,2000-12-08,https://images.igdb.com/igdb/image/upload/t_cover_big/co7vct.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Dragon Warrior IV,dragonwarrioriv,Dragon Quest IV,16584,16584,1990-02-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co7trb.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Earthbound,earthbound,EarthBound,78559,78559,1983-12-31,https://images.igdb.com/igdb/image/upload/t_cover_big/udoqdu91vczupvadieku.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Elden Ring,eldenring,Elden Ring,119133,119133,2022-02-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co4jni.jpg,high,IGDB正式名・別名の完全一致候補が1件
Elden Ring: Shadow of the Erdtree,eldenringshadowoftheerdtree,Elden Ring: Shadow of the Erdtree,240009,240009,2024-06-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co7sly.jpg,high,IGDB正式名・別名の完全一致候補が1件
F-Zero,fzero,F-Zero,3490,3490,1990-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ufz.jpg,high,IGDB正式名・別名の完全一致候補が1件
F-Zero GX,fzerogx,F-Zero GX,3492,3492,2003-07-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co525x.jpg,high,IGDB正式名・別名の完全一致候補が1件
Fate/Grand Order,fategrandorder,Fate/Grand Order,24493,24493,2015-07-30,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qq4.jpg,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy,finalfantasy,Final Fantasy I,385,385,1987-12-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co2xv8.jpg,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy II,finalfantasyii,Final Fantasy II,16474,16474,1988-12-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co2xx4.jpg,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy III,finalfantasyiii,Final Fantasy III,77234,77234,1990-04-27,https://images.igdb.com/igdb/image/upload/t_cover_big/co2127.jpg,high,1990年FC原作。IGDB 426は北米でFinal Fantasy IIIと呼ばれたFFVIのため除外
Final Fantasy IV,finalfantasyiv,Final Fantasy IV,16587,16587,1991-07-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co31c0.jpg,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy IX,finalfantasyix,Final Fantasy IX,421,421,2000-07-07,https://images.igdb.com/igdb/image/upload/t_cover_big/co2unc.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy V,finalfantasyv,Final Fantasy V,419,419,1992-12-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co9p6d.jpg,medium,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy VII,finalfantasyvii,Final Fantasy VII,393025,393025,1997-01-31,https://images.igdb.com/igdb/image/upload/t_cover_big/cobny6.jpg,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy VII Rebirth,finalfantasyviirebirth,Final Fantasy VII Rebirth,133236,133236,2024-02-29,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9k6.jpg,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy VII Remake,finalfantasyviiremake,Final Fantasy VII Remake,11169,11169,2020-04-10,https://images.igdb.com/igdb/image/upload/t_cover_big/cobcwt.jpg,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy VIII,finalfantasyviii,Final Fantasy VIII,425,425,1999-02-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co2z7d.jpg,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy X,finalfantasyx,Final Fantasy X,418,418,2001-07-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tr1.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Final Fantasy XII,finalfantasyxii,Final Fantasy XII,398,398,2006-03-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co3rhx.jpg,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy XIII,finalfantasyxiii,Final Fantasy XIII,389,389,2009-12-17,https://images.igdb.com/igdb/image/upload/t_cover_big/coboys.jpg,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy XIV: Endwalker,finalfantasyxivendwalker,Final Fantasy XIV Online,143232,143232,2021-12-07,https://images.igdb.com/igdb/image/upload/t_cover_big/cobjgf.jpg,high,FootfallsとClose in the DistanceはいずれもEndwalker収録。base gameへ統合せずExpansionとして分離
Final Fantasy XV,finalfantasyxv,Final Fantasy XV,359,359,2016-11-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co6nz1.jpg,high,IGDB正式名・別名の完全一致候補が1件
Final Fantasy XVI,finalfantasyxvi,Final Fantasy XVI,31551,31551,2023-06-22,https://images.igdb.com/igdb/image/upload/t_cover_big/cobd9i.jpg,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem Awakening,fireemblemawakening,Fire Emblem Awakening,1443,1443,2012-04-19,https://images.igdb.com/igdb/image/upload/t_cover_big/cobcko.jpg,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem Engage,fireemblemengage,Fire Emblem Engage,217550,217550,2023-01-20,https://images.igdb.com/igdb/image/upload/t_cover_big/coc5d3.jpg,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem Fates: Special Edition,fireemblemfatesspecialedition,Fire Emblem Fates,10229,10229,2016-02-19,https://images.igdb.com/igdb/image/upload/t_cover_big/coccg3.jpg,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: Path of Radiance,fireemblempathofradiance,Fire Emblem: Path of Radiance,1441,1441,2005-04-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ofh.jpg,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: Radiant Dawn,fireemblemradiantdawn,Fire Emblem: Radiant Dawn,1442,1442,2007-02-22,https://images.igdb.com/igdb/image/upload/t_cover_big/cobb09.jpg,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: The Blazing Blade,fireemblemtheblazingblade,Fire Emblem: The Blazing Blade,1439,1439,2003-04-25,https://images.igdb.com/igdb/image/upload/t_cover_big/cobbmr.jpg,high,IGDB 1439『Fire Emblem』の別名『The Blazing Blade』『Rekka no Ken』から確定
Fire Emblem: The Sacred Stones,fireemblemthesacredstones,Fire Emblem: The Sacred Stones,1440,1440,2004-10-07,https://images.igdb.com/igdb/image/upload/t_cover_big/co25q4.jpg,high,IGDB正式名・別名の完全一致候補が1件
Fire Emblem: Three Houses,fireemblemthreehouses,Fire Emblem: Three Houses,26845,26845,2019-07-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co1n8t.jpg,high,IGDB正式名・別名の完全一致候補が1件
Genshin Impact,genshinimpact,Genshin Impact,119277,119277,2020-09-28,https://images.igdb.com/igdb/image/upload/t_cover_big/coa9dy.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ghost of Tsushima,ghostoftsushima,Ghost of Tsushima,75235,75235,2020-07-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co2crj.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ghost of Yotei,ghostofyotei,Ghost of Yōtei,317627,317627,2025-10-02,https://images.igdb.com/igdb/image/upload/t_cover_big/co9coo.jpg,high,IGDB正式名・別名の完全一致候補が1件
God of War,godofwar,God of War (2018),19560,19560,2018-04-20,https://images.igdb.com/igdb/image/upload/t_cover_big/cobkt6.jpg,high,年指定により2018年版を確定
God of War Ragnarök,godofwarragnarok,God of War Ragnarök,112875,112875,2022-11-09,https://images.igdb.com/igdb/image/upload/t_cover_big/coba3d.jpg,high,IGDB正式名・別名の完全一致候補が1件
Goddess of Victory: Nikke,goddessofvictorynikke,Goddess of Victory: Nikke,117199,117199,2022-11-04,https://images.igdb.com/igdb/image/upload/t_cover_big/co4z90.jpg,high,IGDB正式名・別名の完全一致候補が1件
Granblue Fantasy,granbluefantasy,Granblue Fantasy,13623,13623,2014-03-10,https://images.igdb.com/igdb/image/upload/t_cover_big/cocrun.jpg,high,IGDB正式名・別名の完全一致候補が1件
Grand Theft Auto V,grandtheftautov,Grand Theft Auto V,1020,1020,2013-09-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lbd.jpg,high,IGDB正式名・別名の完全一致候補が1件
Grand Theft Auto: San Andreas,grandtheftautosanandreas,Grand Theft Auto: San Andreas,732,732,2004-10-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,high,IGDB正式名・別名の完全一致候補が1件
Hades,hades,Hades,80529,80529,1995-05-01,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rs3.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Hades II,hadesii,Hades II,228525,228525,2025-09-25,https://images.igdb.com/igdb/image/upload/t_cover_big/coaknx.jpg,high,IGDB正式名・別名の完全一致候補が1件
Half-Life 2,halflife2,Half-Life 2,233,233,2004-11-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co1nmw.jpg,high,IGDB正式名・別名の完全一致候補が1件
Halo 2,halo2,Halo 2,986,986,2004-11-09,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x77.jpg,high,IGDB正式名・別名の完全一致候補が1件
Halo 3,halo3,Halo 3,987,987,2007-09-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xhc.jpg,high,IGDB正式名・別名の完全一致候補が1件
Halo: Combat Evolved,halocombatevolved,Halo: Combat Evolved,740,740,2001-11-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co2r2r.jpg,high,IGDB正式名・別名の完全一致候補が1件
Hatsune Miku: Colorful Stage!,hatsunemikucolorfulstage,Project SEKAI COLORFUL STAGE!,139134,139134,2020-09-30,https://images.igdb.com/igdb/image/upload/t_cover_big/cob2qx.jpg,high,IGDB別名『Project SEKAI COLORFUL STAGE! feat. Hatsune Miku』と一致
Hatsune Miku: Project Diva,hatsunemikuprojectdiva,Hatsune Miku: Project DIVA,11754,11754,2009-07-02,https://images.igdb.com/igdb/image/upload/t_cover_big/coafqb.jpg,high,IGDB正式名・別名の完全一致候補が1件
Heaven Burns Red,heavenburnsred,HEAVEN BURNS RED,132099,132099,2022-02-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co5025.jpg,high,IGDB正式名・別名の完全一致候補が1件
Hollow Knight,hollowknight,Hollow Knight,14593,14593,2017-02-24,https://images.igdb.com/igdb/image/upload/t_cover_big/cobfzp.jpg,high,IGDB正式名・別名の完全一致候補が1件
Hollow Knight Silksong,hollowknightsilksong,Hollow Knight: Silksong,372563,372563,2021-07-28,https://images.igdb.com/igdb/image/upload/t_cover_big/coaob9.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Horizon Forbidden West,horizonforbiddenwest,Horizon Forbidden West,112874,112874,2022-02-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co2gvu.jpg,high,IGDB正式名・別名の完全一致候補が1件
Horizon Zero Dawn,horizonzerodawn,Horizon Zero Dawn,11156,11156,2017-02-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co2una.jpg,high,IGDB正式名・別名の完全一致候補が1件
Hyper Light Drifter,hyperlightdrifter,Hyper Light Drifter,9806,9806,2016-03-31,https://images.igdb.com/igdb/image/upload/t_cover_big/co2edn.jpg,high,IGDB正式名・別名の完全一致候補が1件
Inscryption,inscryption,Inscryption,139090,139090,2021-10-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co401c.jpg,high,IGDB正式名・別名の完全一致候補が1件
Jet Set Radio,jetsetradio,Jet Set Radio,398453,398453,2000-06-29,https://images.igdb.com/igdb/image/upload/t_cover_big/cobxjl.jpg,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Jet Set Radio Future,jetsetradiofuture,Jet Set Radio Future,1570,1570,2002-02-22,https://images.igdb.com/igdb/image/upload/t_cover_big/co87hw.jpg,high,IGDB正式名・別名の完全一致候補が1件
Jubeat,jubeat,jubeat,79960,79960,2008-07-24,https://images.igdb.com/igdb/image/upload/t_cover_big/coadj7.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Katana Zero,katanazero,Katana ZERO,20150,20150,2019-04-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co1isp.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kingdom Hearts,kingdomhearts,Kingdom Hearts,393742,393742,2002-03-28,https://images.igdb.com/igdb/image/upload/t_cover_big/cobphh.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Kingdom Hearts II,kingdomheartsii,Kingdom Hearts II,1221,1221,2005-12-22,https://images.igdb.com/igdb/image/upload/t_cover_big/co30t1.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kingdom Hearts III,kingdomheartsiii,Kingdom Hearts III,2933,2933,2019-01-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tpy.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kirby 64: The Crystal Shards,kirby64thecrystalshards,Kirby 64: The Crystal Shards,2713,2713,2000-03-24,https://images.igdb.com/igdb/image/upload/t_cover_big/co1wcz.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kirby and the Forgotten Land,kirbyandtheforgottenland,Kirby and the Forgotten Land,172427,172427,2022-03-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co3vlw.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Kirby Star Allies,kirbystarallies,Kirby Star Allies,37137,37137,2018-03-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co8ezz.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kirby Super Star,kirbysuperstar,Kirby Super Star,3719,3719,1996-03-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co4qyi.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kirby: Planet Robobot,kirbyplanetrobobot,Kirby: Planet Robobot,18221,18221,2016-04-28,https://images.igdb.com/igdb/image/upload/t_cover_big/cobcm6.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kirby: Triple Deluxe,kirbytripledeluxe,Kirby: Triple Deluxe,5440,5440,2014-01-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co1q9m.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kirby's Adventure,kirbysadventure,Kirby's Adventure,3717,3717,1993-03-23,https://images.igdb.com/igdb/image/upload/t_cover_big/coba3x.jpg,high,IGDB正式名・別名の完全一致候補が1件
Kirby's Dream Land,kirbysdreamland,Kirby's Dream Land,1063,1063,1992-04-27,https://images.igdb.com/igdb/image/upload/t_cover_big/co3ffy.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Kirby's Return to Dream Land,kirbysreturntodreamland,Kirby's Return to Dream Land,3725,3725,2011-10-24,https://images.igdb.com/igdb/image/upload/t_cover_big/coba1d.jpg,high,IGDB正式名・別名の完全一致候補が1件
