rank,bgm_title,source_game_title,logical_game_name,existing_game_id,new_game_required,igdb_id,duplicate_status,confidence,notes,candidate_igdb_ids,candidate_igdb_names,human_check_required
50,Liberi Fatali,Final Fantasy VIII,Final Fantasy VIII,,true,425,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,203538|203524|425|119374|340338,Final Fantasy VIII|Final Fantasy VIII|Final Fantasy VIII|Final Fantasy VIII Remastered|Final Fantasy VIII Remastered,同名移植候補から原作IDを確認
55,Midna's Lament,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,,true,134014,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,134014|1036|191440,The Legend of Zelda: Twilight Princess|The Legend of Zelda: Twilight Princess|The Legend of Zelda: Twilight Princess,同名移植候補から原作IDを確認
56,Melodies of Life,Final Fantasy IX,Final Fantasy IX,,true,421,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,88970|340349|205673|421,Final Fantasy IX|Final Fantasy IX|Final Fantasy IX|Final Fantasy IX,同名移植候補から原作IDを確認
57,Subhuman,Devil May Cry 5,DmC: Devil May Cry,,true,1254,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,76253|1254,Devil May Cry 5|DmC: Devil May Cry,同名移植候補から原作IDを確認
59,Die House,Cuphead,Cuphead,,true,9061,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,9061|237497,Cuphead|Cuphead,同名移植候補から原作IDを確認
60,Evans,jubeat,Jubeat,,true,79960,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,154841|79960,Jubeat|Jubeat,同名移植候補から原作IDを確認
62,Otherworld,Final Fantasy X,Final Fantasy X,,true,418,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,418|146774,Final Fantasy X|Final Fantasy X International,同名移植候補から原作IDを確認
63,Metal Man Stage,Mega Man 2,Mega Man 2,,true,1715,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1715|217935|198812|236705,Mega Man 2|Mega Man 2|Mega Man 2|Mega Man 2,同名移植候補から原作IDを確認
64,Theme of Laura,Silent Hill 2,Silent Hill 2,,true,481,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,222341|222485|481,Silent Hill 2|Silent Hill 2|Silent Hill 2,同名移植候補から原作IDを確認
69,Storm Eagle Stage,Mega Man X,Mega Man X,,true,1741,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,88645|1741,Mega Man X|Mega Man X,同名移植候補から原作IDを確認
70,Dragonborn,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,,true,472,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,472|37034,The Elder Scrolls V: Skyrim|The Elder Scrolls V: Skyrim,同名移植候補から原作IDを確認
75,Ryu's Theme,Street Fighter II,Street Fighter II,,true,3186,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,3186|231006|198928,Street Fighter II|Street Fighter II|Street Fighter II,同名移植候補から原作IDを確認
79,Green Greens,Kirby's Dream Land,Kirby's Dream Land,,true,1063,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1063|321062,Kirby's Dream Land|Kirby's Dream Land Plus,同名移植候補から原作IDを確認
81,Let's Get It On,Street Fighter III: 3rd Strike,Street Fighter III: 3rd Strike,,true,6710,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,6710|243243|243237,Street Fighter III: 3rd Strike|Street Fighter III: 3rd Strike|Street Fighter III: 3rd Strike,同名移植候補から原作IDを確認
84,READY!!,The Idolmaster,The Idolmaster,,true,281482,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,281482|7013,The Idolmaster|The Idolmaster,同名移植候補から原作IDを確認
87,R.E.D.,Street Fighter 6,Street Fighter 6,,true,191692,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,191692|343673,Street Fighter 6|Street Fighter 6,同名移植候補から原作IDを確認
91,Roar of Dedede,Kirby and the Forgotten Land,Kirby and the Forgotten Land,,true,172427,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,208400|172427,Kirby and the Forgotten Land|Kirby and the Forgotten Land,同名移植候補から原作IDを確認
99,Green Hill Zone,Sonic the Hedgehog,Sonic the Hedgehog,,true,3192,not_duplicate,medium,同名候補18件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,316900|198580|198581|6231|80436|203489|197617|88912|198248|3192|261243|210300|264886|278887|273987|239066|299777|207208,Sonic The Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog,同名移植候補から原作IDを確認
104,Chrono Trigger,Chrono Trigger,Chrono Trigger,,true,1802,not_duplicate,medium,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,206320|89828|263446|263447|1802|20398|281408,Chrono Trigger|Chrono Trigger|Chrono Trigger|Chrono Trigger|Chrono Trigger|Chrono Trigger|Chāoshí Kōng zhī Lún,同名移植候補から原作IDを確認
105,Chemical Plant Zone,Sonic the Hedgehog 2,Sonic the Hedgehog 2,,true,112884,not_duplicate,medium,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,202256|112897|4438|112884|239069|317489|273286,Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2,同名移植候補から原作IDを確認
110,Time's Scar,Chrono Cross,Chrono Cross,,true,1804,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,335488|1804,Chrono Cross|Chrono Cross,同名移植候補から原作IDを確認
111,Sonic Boom,Sonic CD,Sonic CD,,true,5452,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,86807|5452,Sonic CD|Sonic CD,同名移植候補から原作IDを確認
113,Self Esteem Fund,Portal,Portal,,true,14546,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,14546|311949|71,Portal|Portal|Portal,同名移植候補から原作IDを確認
116,Simple and Clean,Kingdom Hearts,Kingdom Hearts,,true,393742,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,301925|1219|393742,Kingdom Hearts|Kingdom Hearts|Kingdom Hearts,同名移植候補から原作IDを確認
117,Open Your Heart,Sonic Adventure,Sonic Adventure,,true,7860,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,192113|7860|198588,Sonic Adventure|Sonic Adventure|Sonic Adventure,同名移植候補から原作IDを確認
120,Oshama Scramble!,maimai,Maimai,,true,60813,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,330948|60813,Maimai Plus|Maimai,同名移植候補から原作IDを確認
123,Supporting Me,Sonic Adventure 2,Sonic Adventure 2,,true,7858,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,192192|7858,Sonic Adventure 2|Sonic Adventure 2,同名移植候補から原作IDを確認
126,End Time,CHUNITHM,Chunithm,,true,56388,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,153805|56388|154229,Chunithm Plus|Chunithm|Chunithm Air Plus,同名移植候補から原作IDを確認
129,Rooftop Run - Day,Sonic Unleashed,Sonic Unleashed,,true,133942,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,5169|133942|133943|316502,Sonic Unleashed|Sonic Unleashed|Sonic Unleashed|Sonic Unleashed +,同名移植候補から原作IDを確認
130,Suicide Mission,Mass Effect 2,Mass Effect 2,,true,74,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,74|245113,Mass Effect 2|Mass Effect 2,同名移植候補から原作IDを確認
140,Overture,Dragon Quest III,Dragon Warrior III,,true,205600,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1814|205600,Dragon Quest III: The Seeds of Salvation|Dragon Warrior III,同名移植候補から原作IDを確認
143,Bellhart,Hollow Knight: Silksong,Hollow Knight Silksong,,true,372563,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,372563|115289,Hollow Knight Silksong|Hollow Knight: Silksong,同名移植候補から原作IDを確認
144,I'm so Happy,jubeat,Jubeat,,true,79960,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,154841|79960,Jubeat|Jubeat,同名移植候補から原作IDを確認
153,Jin Kazama Theme,Tekken 3,Tekken 3,,true,1244,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,306134|1244|369999,Tekken 3|Tekken 3|Tekken 3,同名移植候補から原作IDを確認
155,Out of Tartarus,Hades,Hades,,true,80529,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,113112|80529,Hades|Hades,同名移植候補から原作IDを確認
159,Sparking,Tekken 5,Tekken 5,,true,393526,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,393526|1246,Tekken 5|Tekken 5,同名移植候補から原作IDを確認
160,The Drive,Resident Evil 4,Resident Evil 4,,true,974,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,20065|974|132181|145191|21533,Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4|Resident Evil 4: Wii Edition,同名移植候補から原作IDを確認
164,Megalomania,Live A Live,Live A Live,,true,15835,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,191407|15835,Live A Live|Live A Live,同名移植候補から原作IDを確認
167,Botanic Panic,Cuphead,Cuphead,,true,9061,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,9061|237497,Cuphead|Cuphead,同名移植候補から原作IDを確認
168,M@STERPIECE,The Idolmaster,The Idolmaster,,true,281482,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,281482|7013,The Idolmaster|The Idolmaster,同名移植候補から原作IDを確認
176,四魔貴族バトル1,Romancing SaGa 3,Romancing SaGa 3,,true,11313,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,11313|109592,Romancing SaGa 3|Romancing SaGa 3,同名移植候補から原作IDを確認
187,Fear of the Heavens,Secret of Mana,Secret of Mana,,true,3216,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,55092|3216,Secret of Mana|Secret of Mana,同名移植候補から原作IDを確認
194,The Best Is Yet to Come,Metal Gear Solid,Metal Gear Solid,,true,375,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,393642|375|5600|233127,Metal Gear Solid|Metal Gear Solid|Metal Gear: Ghost Babel|Metal Gear Solid,同名移植候補から原作IDを確認
196,Main Theme,Super Smash Bros. Brawl,Super Smash Bros. Brawl,,true,1628,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,328674|1628,Super Smash Bros. Brawl|Super Smash Bros. Brawl,同名移植候補から原作IDを確認
203,Lost Painting,Castlevania: Symphony of the Night,Castlevania: Symphony of the Night,,true,1128,not_duplicate,medium,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1128|213878|223449|222227|198664|223593,Castlevania: Symphony of the Night|Castlevania: Symphony of the Night|Castlevania: Symphony of the Night|Castlevania: Symphony of the Night|Castlevania: Symphony of the Night|Castlevania: Symphony of the Night,同名移植候補から原作IDを確認
213,Roar / Rathalos,Monster Hunter,Monster Hunter,4,false,384972,not_duplicate,medium,既存logical game一致。同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,384972|352353|69721,Monster Hunter|Monster Hunter|Monster Hunter,同名移植候補から原作IDを確認
214,Promise,Silent Hill 2,Silent Hill 2,,true,481,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,222341|222485|481,Silent Hill 2|Silent Hill 2|Silent Hill 2,同名移植候補から原作IDを確認
216,Aquatic Ambience,Donkey Kong Country,Donkey Kong Country,,true,1090,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,150028|152752|234084|1090,Donkey Kong Country|Donkey Kong Country|Donkey Kong Country|Donkey Kong Country,同名移植候補から原作IDを確認
226,地下BGM,Super Mario Bros.,Super Mario Bros.,,true,358,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,222095|360585|358|145179,Super Mario Bros.|Doubutsu no Mori+: Super Mario Bros|Super Mario Bros.|Super Mario Bros.,同名移植候補から原作IDを確認
227,Meaning of Birth,Tales of the Abyss,Tales of the Abyss,,true,1207,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1207|20972,Tales of the Abyss|Tales of the Abyss,同名移植候補から原作IDを確認
229,Bowser's Galaxy Generator,Super Mario Galaxy,Super Mario Galaxy,,true,1077,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,229246|1077|328672|191434|366899,Super Mario Galaxy|Super Mario Galaxy|Super Mario Galaxy Star Bit|Super Mario Galaxy|Super Mario Galaxy,同名移植候補から原作IDを確認
235,Coconut Mall,Mario Kart Wii,Mario Kart Wii,,true,2183,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,2183|191437,Mario Kart Wii|Mario Kart Wii,同名移植候補から原作IDを確認
241,Dark World,The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,,true,1026,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1026|229416,The Legend of Zelda: A Link to the Past|The Legend of Zelda: A Link to the Past,同名移植候補から原作IDを確認
243,Crimson Cloud,Devil May Cry 5,DmC: Devil May Cry,,true,1254,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,76253|1254,Devil May Cry 5|DmC: Devil May Cry,同名移植候補から原作IDを確認
244,Zelda's Lullaby,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,,true,1029,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,405460|1029,The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Ocarina of Time,同名移植候補から原作IDを確認
245,Theme of Love,Final Fantasy IV,Final Fantasy IV,,true,16587,not_duplicate,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,283313|158983|16587|399|380634|282725|283093|283317|406|387,Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV|Final Fantasy IV Advance|Final Fantasy II,同名移植候補から原作IDを確認
246,Air Man Stage,Mega Man 2,Mega Man 2,,true,1715,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1715|217935|198812|236705,Mega Man 2|Mega Man 2|Mega Man 2|Mega Man 2,同名移植候補から原作IDを確認
248,"Home, Sweet Home",Final Fantasy V,Final Fantasy V,,true,419,not_duplicate,medium,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,158984|419|146069|288349|400427|20597,Final Fantasy V|Final Fantasy V|Final Fantasy V|Final Fantasy V|Final Fantasy V|Final Fantasy V Advance,同名移植候補から原作IDを確認
249,Armored Armadillo Stage,Mega Man X,Mega Man X,,true,1741,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,88645|1741,Mega Man X|Mega Man X,同名移植候補から原作IDを確認
252,Ken's Theme,Street Fighter II,Street Fighter II,,true,3186,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,3186|231006|198928,Street Fighter II|Street Fighter II|Street Fighter II,同名移植候補から原作IDを確認
253,Hidden Village,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,,true,134014,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,134014|1036|191440,The Legend of Zelda: Twilight Princess|The Legend of Zelda: Twilight Princess|The Legend of Zelda: Twilight Princess,同名移植候補から原作IDを確認
254,J-E-N-O-V-A,Final Fantasy VII,Final Fantasy VII,,true,393025,not_duplicate,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,207028|207026|207021|393025|427|2406|381337|350141|392808|146620,Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII|Final Fantasy VII International,同名移植候補から原作IDを確認
255,Jazzy NYC '99,Street Fighter III: 3rd Strike,Street Fighter III: 3rd Strike,,true,6710,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,6710|243243|243237,Street Fighter III: 3rd Strike|Street Fighter III: 3rd Strike|Street Fighter III: 3rd Strike,同名移植候補から原作IDを確認
257,The Extreme,Final Fantasy VIII,Final Fantasy VIII,,true,425,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,203538|203524|425|119374|340338,Final Fantasy VIII|Final Fantasy VIII|Final Fantasy VIII|Final Fantasy VIII Remastered|Final Fantasy VIII Remastered,同名移植候補から原作IDを確認
258,Viator,Street Fighter 6,Street Fighter 6,,true,191692,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,191692|343673,Street Fighter 6|Street Fighter 6,同名移植候補から原作IDを確認
260,Battle 1,Final Fantasy IX,Final Fantasy IX,,true,421,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,88970|340349|205673|421,Final Fantasy IX|Final Fantasy IX|Final Fantasy IX|Final Fantasy IX,同名移植候補から原作IDを確認
263,Suteki Da Ne,Final Fantasy X,Final Fantasy X,,true,418,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,418|146774,Final Fantasy X|Final Fantasy X International,同名移植候補から原作IDを確認
264,Marble Zone,Sonic the Hedgehog,Sonic the Hedgehog,,true,3192,not_duplicate,medium,同名候補18件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,316900|198580|198581|6231|80436|203489|197617|88912|198248|3192|261243|210300|264886|278887|273987|239066|299777|207208,Sonic The Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog|Sonic the Hedgehog,同名移植候補から原作IDを確認
265,King Dedede's Theme,Kirby's Dream Land,Kirby's Dream Land,,true,1063,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1063|321062,Kirby's Dream Land|Kirby's Dream Land Plus,同名移植候補から原作IDを確認
267,Casino Night Zone,Sonic the Hedgehog 2,Sonic the Hedgehog 2,,true,112884,not_duplicate,medium,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,202256|112897|4438|112884|239069|317489|273286,Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2|Sonic the Hedgehog 2,同名移植候補から原作IDを確認
270,You Can Do Anything,Sonic CD,Sonic CD,,true,5452,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,86807|5452,Sonic CD|Sonic CD,同名移植候補から原作IDを確認
271,The Raging Lion Roars,Kirby and the Forgotten Land,Kirby and the Forgotten Land,,true,172427,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,208400|172427,Kirby and the Forgotten Land|Kirby and the Forgotten Land,同名移植候補から原作IDを確認
273,It Doesn't Matter,Sonic Adventure,Sonic Adventure,,true,7860,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,192113|7860|198588,Sonic Adventure|Sonic Adventure|Sonic Adventure,同名移植候補から原作IDを確認
276,For True Story,Sonic Adventure 2,Sonic Adventure 2,,true,7858,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,192192|7858,Sonic Adventure 2|Sonic Adventure 2,同名移植候補から原作IDを確認
282,Battle with Magus,Chrono Trigger,Chrono Trigger,,true,1802,not_duplicate,medium,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,206320|89828|263446|263447|1802|20398|281408,Chrono Trigger|Chrono Trigger|Chrono Trigger|Chrono Trigger|Chrono Trigger|Chrono Trigger|Chāoshí Kōng zhī Lún,同名移植候補から原作IDを確認
284,Dream of the Shore Near Another World,Chrono Cross,Chrono Cross,,true,1804,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,335488|1804,Chrono Cross|Chrono Cross,同名移植候補から原作IDを確認
